Lake;Watershed;Latitude;Longitude;Lake_area;Max_depth;Mean_depth;WRT;Drainage_area;Elevation;Perimeter;Connectivity
Achigan;Achigan;"45°56'34"" N";"73°58'41"" W";5.32;26.5;12.3;1.18;97.06;209;22833.96;1459.406
Beaver;Achigan;"45°55'30"" N ";"74°03'50"" W";0.03696;6.2;1.97;0.85;0.151;360;924;272.174
Coeur;Coeur;"45°58'06"" N";"74°00'36"" W";0.437;7.6;3.1;1.3;1.736;349;7359.39;999.039
Cornu;Cornu;"45°52'53"" N";"74°00'02"" W";0.218;15.3;6.3;2.3;1.059;236.8;3532.96;845.637
Corriveau;Achigan;"45°58'38"" N";"74°00'03"" W";0.057;14.4;6.8;0.06;11.23;324.5;1332.07;959.488
Croche;Achigan;"45°59'34"" N ";"74°00'34"" W";0.179;11.4;4.7;1.4;1.072;358.7;4550.94;452.447
Cromwell;Achigan;"45°59'21"" N";"73°59'55"" W";0.102;9.8;3.5;0.078;8.136;336.8;1916.93;785.556
Echo;Echo;"45°53'14"" N ";"74°01'24"" W";1.6;9;1.8;0.43;12.02;233;12151.01;809.508
Fournelle;Connelly;"45°54'53"" N ";"74°02'28"" W";0.189;8.4;2.9;0.22;4.39;279.6;3082.17;785.674
Montaubois;Achigan;"45°55'20"" N ";"74°04'23"" W";0.166;32.6;13.7;7.8;0.508;350;2359.59;514.664
Morency;Morency;"45°55'40"" N";"74°02'09"" W";0.256;20.3;8.8;0.6;2.38;271;2934.61;1131.794
Pin_rouge;Achigan;"45°57'39"" N ";"74°02'28"" W";0.152;14;4.9;0.17;7.56;322;2181.57;511.121
St-Onge;Connelly;"45°54'52"" N ";"73°57'44"" W";0.0144;3.5;1.8;0.05;0.875;216.7;492.06;1580.956
Tracy;Achigan;"45°55'38"" N ";"74°03'57"" W";0.0831;24.5;8.2;1.4;0.881;345.2;1291.53;272.174
Triton;Achigan;"45°59'16"" N";"74°00'29"" W";0.017;4.3;2.5;0.46;0.163;364;680;452.447