Lake;Transect_ID;Date;Diver;Position;Sampling_ID;Latitude;Longitude;Cloud_cover;Start_time;Segment;LeGi_Health;LeGi_Infected;Cyp_Health;Cyp_Infected;MiDo_Health;MiDo_Infected;AmRu_Health;AmRu_Infected;PeFl_Health;PeFl_Infected;Silt;Sand;Rock;Metric_block;Macrophyte;Mean_depth;Trunk;Temperature;Conductivity;DO;Turbidity;pH;TOC;TN;TP
Achigan;ACHI1;24/08/2022;Lea;Littoral;ACHI1_Littoral;45°56.127';73°57.989';50;11:52;0 - 10 m ;0;0;0;0;3;0;0;0;0;0;0;0;80;20;0;40;0;25.2;56.6;8.37;0.06;7.25;4.750;232.49;4.3049
Achigan;ACHI1;24/08/2022;Lea;Littoral;ACHI1_Littoral;45°56.127';73°57.989';50;11:55;10 - 20 m;0;0;0;0;1;0;0;0;0;0;0;0;80;20;0;35;0;25.2;56.6;8.37;0.06;7.25;4.750;232.49;4.3049
Achigan;ACHI1;24/08/2022;Lea;Littoral;ACHI1_Littoral;45°56.127';73°57.989';50;11:58;20 - 30 m;0;0;0;0;4;0;0;0;0;0;0;0;75;25;0;50;6;25.2;56.6;8.37;0.06;7.25;4.750;232.49;4.3049
Achigan;ACHI1;24/08/2022;Lea;Littoral;ACHI1_Littoral;45°56.127';73°57.989';50;12:01;30 - 40 m;0;0;0;0;0;0;0;0;0;0;0;0;70;30;0;60;0;25.2;56.6;8.37;0.06;7.25;4.750;232.49;4.3049
Achigan;ACHI1;24/08/2022;Lea;Littoral;ACHI1_Littoral;45°56.127';73°57.989';50;12:04;40 - 50 m ;0;0;0;0;1;0;0;0;0;0;0;0;40;60;0;120;2;25.2;56.6;8.37;0.06;7.25;4.750;232.49;4.3049
Achigan;ACHI1;24/08/2022;Juliane;Pelagic;ACHI1_Pelagic;45°56.127';73°57.989';50;11:52;0 - 10 m ;0;0;0;0;0;0;0;0;0;0;0;5;93;2;1;90;0;25.2;56.6;8.37;0.06;7.25;4.750;232.49;4.3049
Achigan;ACHI1;24/08/2022;Juliane;Pelagic;ACHI1_Pelagic;45°56.127';73°57.989';50;11:55;10 - 20 m;0;0;0;0;0;0;0;0;0;0;0;5;85;10;25;150;0;25.2;56.6;8.37;0.06;7.25;4.750;232.49;4.3049
Achigan;ACHI1;24/08/2022;Juliane;Pelagic;ACHI1_Pelagic;45°56.127';73°57.989';50;11:58;20 - 30 m;0;0;0;0;0;0;0;0;0;0;0;10;70;20;5;200;2;25.2;56.6;8.37;0.06;7.25;4.750;232.49;4.3049
Achigan;ACHI1;24/08/2022;Juliane;Pelagic;ACHI1_Pelagic;45°56.127';73°57.989';50;12:01;30 - 40 m;0;0;0;0;0;0;0;0;0;0;0;15;75;10;5;220;2;25.2;56.6;8.37;0.06;7.25;4.750;232.49;4.3049
Achigan;ACHI1;24/08/2022;Juliane;Pelagic;ACHI1_Pelagic;45°56.127';73°57.989';50;12:04;40 - 50 m ;0;0;0;0;0;0;0;0;0;0;0;15;80;5;2;220;3;25.2;56.6;8.37;0.06;7.25;4.750;232.49;4.3049
Achigan;ACHI2;24/08/2022;Charles;Littoral;ACHI2_Littoral;45°56.025';73°57.398';5;13:14;0 - 10 m ;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;30;0;24.3;55.2;8.55;0.38;7.38;4.670;259.85;6.2188
Achigan;ACHI2;24/08/2022;Charles;Littoral;ACHI2_Littoral;45°56.025';73°57.398';5;13:17;10 - 20 m;0;0;0;0;0;0;0;0;0;0;0;0;95;5;0;35;0;24.3;55.2;8.55;0.38;7.38;4.670;259.85;6.2188
Achigan;ACHI2;24/08/2022;Charles;Littoral;ACHI2_Littoral;45°56.025';73°57.398';5;13:20;20 - 30 m;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;25;1;24.3;55.2;8.55;0.38;7.38;4.670;259.85;6.2188
Achigan;ACHI2;24/08/2022;Charles;Littoral;ACHI2_Littoral;45°56.025';73°57.398';5;13:23;30 - 40 m;0;0;0;0;0;0;0;0;0;0;0;0;100;0;1;30;0;24.3;55.2;8.55;0.38;7.38;4.670;259.85;6.2188
Achigan;ACHI2;24/08/2022;Charles;Littoral;ACHI2_Littoral;45°56.025';73°57.398';5;13:26;40 - 50 m ;0;0;0;0;0;0;0;0;0;0;0;0;100;0;3;30;0;24.3;55.2;8.55;0.38;7.38;4.670;259.85;6.2188
Achigan;ACHI2;24/08/2022;Lea;Pelagic;ACHI2_Pelagic;45°56.025';73°57.398';5;13:14;0 - 10 m ;0;0;0;0;0;0;0;0;0;0;0;0;70;30;0;180;3;24.3;55.2;8.55;0.38;7.38;4.670;259.85;6.2188
Achigan;ACHI2;24/08/2022;Lea;Pelagic;ACHI2_Pelagic;45°56.025';73°57.398';5;13:17;10 - 20 m;0;0;0;0;0;0;0;0;0;0;30;0;60;10;0;200;6;24.3;55.2;8.55;0.38;7.38;4.670;259.85;6.2188
Achigan;ACHI2;24/08/2022;Lea;Pelagic;ACHI2_Pelagic;45°56.025';73°57.398';5;13:20;20 - 30 m;0;0;0;0;0;0;0;0;0;0;0;0;65;35;0;120;0;24.3;55.2;8.55;0.38;7.38;4.670;259.85;6.2188
Achigan;ACHI2;24/08/2022;Lea;Pelagic;ACHI2_Pelagic;45°56.025';73°57.398';5;13:23;30 - 40 m;0;0;0;0;0;0;0;0;0;0;0;0;80;20;0;50;0;24.3;55.2;8.55;0.38;7.38;4.670;259.85;6.2188
Achigan;ACHI2;24/08/2022;Lea;Pelagic;ACHI2_Pelagic;45°56.025';73°57.398';5;13:26;40 - 50 m ;0;0;0;0;0;0;0;0;0;0;10;15;65;10;10;90;3;24.3;55.2;8.55;0.38;7.38;4.670;259.85;6.2188
Achigan;ACHI3;24/08/2022;Juliane;Littoral;ACHI3_Littoral;45°56.038';73°57.346';75;14:01;0 - 10 m ;0;0;0;0;2;0;0;0;0;0;2;0;8;90;2;50;0;24.5;55.7;8.66;0.17;7.56;4.750;299.75;5.8841
Achigan;ACHI3;24/08/2022;Juliane;Littoral;ACHI3_Littoral;45°56.038';73°57.346';75;14:04;10 - 20 m;0;0;0;0;1;0;0;0;0;0;10;0;10;70;15;60;1;24.5;55.7;8.66;0.17;7.56;4.750;299.75;5.8841
Achigan;ACHI3;24/08/2022;Juliane;Littoral;ACHI3_Littoral;45°56.038';73°57.346';75;14:07;20 - 30 m;0;0;0;0;1;0;0;0;0;0;10;0;30;60;10;60;2;24.5;55.7;8.66;0.17;7.56;4.750;299.75;5.8841
Achigan;ACHI3;24/08/2022;Juliane;Littoral;ACHI3_Littoral;45°56.038';73°57.346';75;14:10;30 - 40 m;0;0;0;0;1;0;0;0;0;0;15;0;50;35;5;50;4;24.5;55.7;8.66;0.17;7.56;4.750;299.75;5.8841
Achigan;ACHI3;24/08/2022;Juliane;Littoral;ACHI3_Littoral;45°56.038';73°57.346';75;14:13;40 - 50 m ;0;0;0;0;1;0;0;0;0;0;5;0;50;45;2;50;1;24.5;55.7;8.66;0.17;7.56;4.750;299.75;5.8841
Achigan;ACHI3;24/08/2022;Charles;Pelagic;ACHI3_Pelagic;45°56.038';73°57.346';75;14:01;0 - 10 m ;0;0;0;0;1;0;0;0;0;0;80;0;15;5;15;200;3;24.5;55.7;8.66;0.17;7.56;4.750;299.75;5.8841
Achigan;ACHI3;24/08/2022;Charles;Pelagic;ACHI3_Pelagic;45°56.038';73°57.346';75;14:04;10 - 20 m;0;0;0;0;0;0;0;0;0;0;60;0;35;5;10;210;6;24.5;55.7;8.66;0.17;7.56;4.750;299.75;5.8841
Achigan;ACHI3;24/08/2022;Charles;Pelagic;ACHI3_Pelagic;45°56.038';73°57.346';75;14:07;20 - 30 m;0;0;0;0;0;0;0;0;0;0;10;0;5;85;5;250;7;24.5;55.7;8.66;0.17;7.56;4.750;299.75;5.8841
Achigan;ACHI3;24/08/2022;Charles;Pelagic;ACHI3_Pelagic;45°56.038';73°57.346';75;14:10;30 - 40 m;0;0;0;0;0;0;0;0;0;0;90;0;5;5;5;120;1;24.5;55.7;8.66;0.17;7.56;4.750;299.75;5.8841
Achigan;ACHI3;24/08/2022;Charles;Pelagic;ACHI3_Pelagic;45°56.038';73°57.346';75;14:13;40 - 50 m ;0;0;0;0;0;1;0;0;0;0;5;0;0;95;0;100;1;24.5;55.7;8.66;0.17;7.56;4.750;299.75;5.8841
Achigan;ACHI4;24/08/2022;Juliane;Littoral;ACHI4_Littoral;45°56.274';73°57.020';50;14:45;0 - 10 m ;0;0;0;0;2;0;0;0;0;0;0;0;50;50;0;50;0;24.5;55.6;8.67;0.18;7.38;4.670;238.19;5.4528
Achigan;ACHI4;24/08/2022;Juliane;Littoral;ACHI4_Littoral;45°56.274';73°57.020';50;14:48;10 - 20 m;0;0;0;0;2;0;0;0;0;0;0;0;30;70;0;40;0;24.5;55.6;8.67;0.18;7.38;4.670;238.19;5.4528
Achigan;ACHI4;24/08/2022;Juliane;Littoral;ACHI4_Littoral;45°56.274';73°57.020';50;14:51;20 - 30 m;0;0;0;0;1;0;0;0;0;0;0;0;50;50;0;40;0;24.5;55.6;8.67;0.18;7.38;4.670;238.19;5.4528
Achigan;ACHI4;24/08/2022;Juliane;Littoral;ACHI4_Littoral;45°56.274';73°57.020';50;14:54;30 - 40 m;0;0;0;0;2;1;0;0;0;0;0;0;40;60;0;30;0;24.5;55.6;8.67;0.18;7.38;4.670;238.19;5.4528
Achigan;ACHI4;24/08/2022;Juliane;Littoral;ACHI4_Littoral;45°56.274';73°57.020';50;14:57;40 - 50 m ;0;0;0;0;1;0;0;0;0;0;0;0;30;70;0;50;0;24.5;55.6;8.67;0.18;7.38;4.670;238.19;5.4528
Achigan;ACHI4;24/08/2022;Charles;Pelagic;ACHI4_Pelagic;45°56.274';73°57.020';50;14:45;0 - 10 m ;0;0;0;0;0;0;0;0;0;0;0;0;90;10;0;230;0;24.5;55.6;8.67;0.18;7.38;4.670;238.19;5.4528
Achigan;ACHI4;24/08/2022;Charles;Pelagic;ACHI4_Pelagic;45°56.274';73°57.020';50;14:48;10 - 20 m;0;0;0;0;1;0;0;0;0;0;0;0;95;5;0;230;1;24.5;55.6;8.67;0.18;7.38;4.670;238.19;5.4528
Achigan;ACHI4;24/08/2022;Charles;Pelagic;ACHI4_Pelagic;45°56.274';73°57.020';50;14:51;20 - 30 m;0;0;0;0;1;0;0;0;0;0;0;0;95;5;0;220;1;24.5;55.6;8.67;0.18;7.38;4.670;238.19;5.4528
Achigan;ACHI4;24/08/2022;Charles;Pelagic;ACHI4_Pelagic;45°56.274';73°57.020';50;14:54;30 - 40 m;0;0;0;0;1;0;0;0;0;0;0;0;95;5;1;280;6;24.5;55.6;8.67;0.18;7.38;4.670;238.19;5.4528
Achigan;ACHI4;24/08/2022;Charles;Pelagic;ACHI4_Pelagic;45°56.274';73°57.020';50;14:57;40 - 50 m ;0;0;0;0;2;0;0;0;0;0;0;0;95;5;1;300;1;24.5;55.6;8.67;0.18;7.38;4.670;238.19;5.4528
Achigan;ACHI5;24/08/2022;Juliane;Littoral;ACHI5_Littoral;45°56.390';73°59.699';1;10:23;0 - 10 m ;0;0;0;0;0;0;0;0;0;0;0;18;80;2;15;20;0;23.6;56.1;8.78;0.24;6.83;4.780;242.75;6.6700
Achigan;ACHI5;24/08/2022;Juliane;Littoral;ACHI5_Littoral;45°56.390';73°59.699';1;10:26;10 - 20 m;0;0;0;0;0;0;0;0;0;0;0;20;78;2;10;20;0;23.6;56.1;8.78;0.24;6.83;4.780;242.75;6.6700
Achigan;ACHI5;24/08/2022;Juliane;Littoral;ACHI5_Littoral;45°56.390';73°59.699';1;10:29;20 - 30 m;0;0;0;0;1;0;0;0;0;0;0;15;85;0;5;20;0;23.6;56.1;8.78;0.24;6.83;4.780;242.75;6.6700
Achigan;ACHI5;24/08/2022;Juliane;Littoral;ACHI5_Littoral;45°56.390';73°59.699';1;10:32;30 - 40 m;0;0;0;0;1;0;0;0;0;0;0;25;73;2;2;25;0;23.6;56.1;8.78;0.24;6.83;4.780;242.75;6.6700
Achigan;ACHI5;24/08/2022;Juliane;Littoral;ACHI5_Littoral;45°56.390';73°59.699';1;10:35;40 - 50 m ;0;0;0;0;0;0;0;0;0;0;0;10;90;0;5;20;0;23.6;56.1;8.78;0.24;6.83;4.780;242.75;6.6700
Achigan;ACHI5;24/08/2022;Lea;Pelagic;ACHI5_Pelagic;45°56.390';73°59.699';1;10:23;0 - 10 m ;0;0;0;0;0;0;0;0;0;0;15;50;35;0;50;45;0;23.6;56.1;8.78;0.24;6.83;4.780;242.75;6.6700
Achigan;ACHI5;24/08/2022;Lea;Pelagic;ACHI5_Pelagic;45°56.390';73°59.699';1;10:26;10 - 20 m;10;0;33;0;0;0;0;0;0;0;15;85;0;0;85;60;0;23.6;56.1;8.78;0.24;6.83;4.780;242.75;6.6700
Achigan;ACHI5;24/08/2022;Lea;Pelagic;ACHI5_Pelagic;45°56.390';73°59.699';1;10:29;20 - 30 m;10;0;20;0;0;0;0;0;0;0;20;75;5;0;65;70;1;23.6;56.1;8.78;0.24;6.83;4.780;242.75;6.6700
Achigan;ACHI5;24/08/2022;Lea;Pelagic;ACHI5_Pelagic;45°56.390';73°59.699';1;10:32;30 - 40 m;0;0;0;0;0;0;0;0;0;0;20;70;0;10;60;55;0;23.6;56.1;8.78;0.24;6.83;4.780;242.75;6.6700
Achigan;ACHI5;24/08/2022;Lea;Pelagic;ACHI5_Pelagic;45°56.390';73°59.699';1;10:35;40 - 50 m ;30;0;35;0;1;0;0;0;0;0;20;70;10;0;70;40;0;23.6;56.1;8.78;0.24;6.83;4.780;242.75;6.6700
Achigan;ACHI6;24/08/2022;Lea;Littoral;ACHI6_Littoral;45°56.561';73°58.328';10;11:07;0 - 10 m ;0;0;0;0;0;0;0;0;0;0;0;0;90;10;10;40;2;24.3;55.9;8.60;0.16;6.98;4.830;240.47;4.7597
Achigan;ACHI6;24/08/2022;Lea;Littoral;ACHI6_Littoral;45°56.561';73°58.328';10;11:10;10 - 20 m;0;0;0;0;0;0;0;0;0;0;0;0;80;20;5;40;0;24.3;55.9;8.60;0.16;6.98;4.830;240.47;4.7597
Achigan;ACHI6;24/08/2022;Lea;Littoral;ACHI6_Littoral;45°56.561';73°58.328';10;11:13;20 - 30 m;0;0;0;0;0;0;0;0;0;0;0;0;90;10;0;30;0;24.3;55.9;8.60;0.16;6.98;4.830;240.47;4.7597
Achigan;ACHI6;24/08/2022;Lea;Littoral;ACHI6_Littoral;45°56.561';73°58.328';10;11:16;30 - 40 m;0;0;0;0;0;0;0;0;0;0;0;0;60;40;3;40;0;24.3;55.9;8.60;0.16;6.98;4.830;240.47;4.7597
Achigan;ACHI6;24/08/2022;Lea;Littoral;ACHI6_Littoral;45°56.561';73°58.328';10;11:19;40 - 50 m ;0;0;0;0;2;3;0;0;0;0;0;0;70;30;0;70;0;24.3;55.9;8.60;0.16;6.98;4.830;240.47;4.7597
Achigan;ACHI6;24/08/2022;Juliane;Pelagic;ACHI6_Pelagic;45°56.561';73°58.328';10;11:07;0 - 10 m ;0;0;0;0;2;0;0;0;0;0;0;25;70;5;0;70;0;24.3;55.9;8.60;0.16;6.98;4.830;240.47;4.7597
Achigan;ACHI6;24/08/2022;Juliane;Pelagic;ACHI6_Pelagic;45°56.561';73°58.328';10;11:10;10 - 20 m;0;0;0;0;0;0;0;0;0;0;0;20;70;10;2;120;2;24.3;55.9;8.60;0.16;6.98;4.830;240.47;4.7597
Achigan;ACHI6;24/08/2022;Juliane;Pelagic;ACHI6_Pelagic;45°56.561';73°58.328';10;11:13;20 - 30 m;0;0;0;0;1;0;0;0;0;0;0;30;63;7;0;80;3;24.3;55.9;8.60;0.16;6.98;4.830;240.47;4.7597
Achigan;ACHI6;24/08/2022;Juliane;Pelagic;ACHI6_Pelagic;45°56.561';73°58.328';10;11:16;30 - 40 m;0;0;0;0;0;0;0;0;0;0;0;20;75;5;1;70;2;24.3;55.9;8.60;0.16;6.98;4.830;240.47;4.7597
Achigan;ACHI6;24/08/2022;Juliane;Pelagic;ACHI6_Pelagic;45°56.561';73°58.328';10;11:19;40 - 50 m ;0;0;0;0;1;0;0;0;0;0;0;20;60;20;1;100;3;24.3;55.9;8.60;0.16;6.98;4.830;240.47;4.7597
Beaver;BEAV1;10/08/2022;NA;NA;BEAV1_NA;45°55.557';74°03.855';80;15:52;0 - 10 m ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.0;26.0;8.87;1.78;6.60;9.150;487.85;18.4269
Beaver;BEAV1;10/08/2022;NA;NA;BEAV1_NA;45°55.557';74°03.855';80;15:52;10 - 20 m;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.0;26.0;8.87;1.78;6.60;9.150;487.85;18.4269
Beaver;BEAV1;10/08/2022;NA;NA;BEAV1_NA;45°55.557';74°03.855';80;15:52;20 - 30 m;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.0;26.0;8.87;1.78;6.60;9.150;487.85;18.4269
Beaver;BEAV1;10/08/2022;NA;NA;BEAV1_NA;45°55.557';74°03.855';80;15:52;30 - 40 m;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.0;26.0;8.87;1.78;6.60;9.150;487.85;18.4269
Beaver;BEAV1;10/08/2022;NA;NA;BEAV1_NA;45°55.557';74°03.855';80;15:52;40 - 50 m ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;23.0;26.0;8.87;1.78;6.60;9.150;487.85;18.4269
Beaver;BEAV2;10/08/2022;NA;NA;BEAV2_NA;45°55.471';74°03.804';75;16:05;0 - 10 m ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22.7;26.0;8.82;1.88;6.77;9.170;499.25;19.4058
Beaver;BEAV2;10/08/2022;NA;NA;BEAV2_NA;45°55.471';74°03.804';75;16:05;10 - 20 m;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22.7;26.0;8.82;1.88;6.77;9.170;499.25;19.4058
Beaver;BEAV2;10/08/2022;NA;NA;BEAV2_NA;45°55.471';74°03.804';75;16:05;20 - 30 m;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22.7;26.0;8.82;1.88;6.77;9.170;499.25;19.4058
Beaver;BEAV2;10/08/2022;NA;NA;BEAV2_NA;45°55.471';74°03.804';75;16:05;30 - 40 m;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22.7;26.0;8.82;1.88;6.77;9.170;499.25;19.4058
Beaver;BEAV2;10/08/2022;NA;NA;BEAV2_NA;45°55.471';74°03.804';75;16:05;40 - 50 m ;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;22.7;26.0;8.82;1.88;6.77;9.170;499.25;19.4058
Coeur;COEU1;25/08/2022;Juliane;Littoral;COEU1_Littoral;45°58.278';74°00.493';60;11:26;0 - 10 m ;5;16;0;0;3;1;0;0;0;0;0;0;50;50;2;100;4;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Juliane;Littoral;COEU1_Littoral;45°58.278';74°00.493';60;11:26;10 - 20 m;1;2;0;0;1;0;0;0;0;0;0;0;40;60;1;110;4;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Juliane;Littoral;COEU1_Littoral;45°58.278';74°00.493';60;11:26;20 - 30 m;2;5;0;0;1;2;0;0;0;0;0;0;30;70;0;60;4;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Juliane;Littoral;COEU1_Littoral;45°58.278';74°00.493';60;11:26;30 - 40 m;2;8;0;0;1;1;0;0;0;0;20;0;20;60;5;70;2;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Juliane;Littoral;COEU1_Littoral;45°58.278';74°00.493';60;11:26;40 - 50 m ;4;14;0;0;3;0;0;0;0;0;30;0;30;40;2;120;6;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Charles;Pelagic;COEU1_Pelagic;45°58.278';74°00.493';60;11:26;0 - 10 m ;0;4;0;0;2;5;0;0;0;0;90;0;5;5;3;250;20;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Charles;Pelagic;COEU1_Pelagic;45°58.278';74°00.493';60;11:26;10 - 20 m;0;1;0;0;5;5;0;0;0;0;80;0;10;10;0;290;15;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Charles;Pelagic;COEU1_Pelagic;45°58.278';74°00.493';60;11:26;20 - 30 m;0;2;0;0;11;2;0;0;0;0;60;0;40;0;5;310;10;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Charles;Pelagic;COEU1_Pelagic;45°58.278';74°00.493';60;11:26;30 - 40 m;0;1;0;0;2;2;0;0;0;0;50;0;50;0;5;300;5;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU1;25/08/2022;Charles;Pelagic;COEU1_Pelagic;45°58.278';74°00.493';60;11:26;40 - 50 m ;0;0;0;0;7;1;0;0;0;0;100;0;0;0;0;265;10;23.6;53.8;8.37;0.29;7.38;5.750;419.45;9.5510
Coeur;COEU2;25/08/2022;Charles;Littoral;COEU2_Littoral;45°58.220';74°00.526';30;10:53;0 - 10 m ;0;7;0;0;0;0;0;0;0;0;90;0;8;2;25;60;2;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
Coeur;COEU2;25/08/2022;Charles;Littoral;COEU2_Littoral;45°58.220';74°00.526';30;10:53;10 - 20 m;0;29;0;0;0;1;0;0;3;3;85;0;10;5;45;60;0;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
Coeur;COEU2;25/08/2022;Charles;Littoral;COEU2_Littoral;45°58.220';74°00.526';30;10:53;20 - 30 m;0;12;0;0;0;0;0;0;3;4;60;0;20;20;2;65;2;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
Coeur;COEU2;25/08/2022;Charles;Littoral;COEU2_Littoral;45°58.220';74°00.526';30;10:53;30 - 40 m;0;0;0;0;1;0;0;0;0;0;10;0;60;30;1;30;0;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
Coeur;COEU2;25/08/2022;Charles;Littoral;COEU2_Littoral;45°58.220';74°00.526';30;10:53;40 - 50 m ;0;4;0;0;0;0;0;0;0;0;20;0;0;80;2;80;8;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
Coeur;COEU2;25/08/2022;Juliane;Pelagic;COEU2_Pelagic;45°58.220';74°00.526';30;10:53;0 - 10 m ;0;4;0;0;1;1;0;0;0;0;0;0;50;50;5;50;0;23.3;53.5;8.38;0.33;7.25;5.630;370.43;8.4576
