"Fishing_ID","Lake","Date","Latitude","Longitude","Start_time","Gear_type","Gear_ID","Identifier","tot_AmRu","tot_FuDi","tot_MiDo","tot_Centrarchidae","tot_LeGi","tot_PeFl","tot_PiPr","tot_Chrosomus sp.","tot_PiNo","tot_Cyprinidae","tot_SeAt","tot_LuCo","tot_AmNe","tot_CaCo","tot_EsMa","tot_UmLi","tot_RhAt","inf_AmRu","inf_FuDi","inf_MiDo","inf_Centrarchidae","inf_LeGi","inf_PeFl","inf_PiPr","inf_Chrosomus sp.","inf_PiNo","inf_Cyprinidae","inf_SeAt","inf_LuCo","inf_AmNe","inf_CaCo","inf_EsMa","inf_UmLi","inf_RhAt"
"ACHI_N_01","Achigan","2022-07-27","45°56.366'","73°58.843'","17:03","Minnow_trap","N1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_N_02","Achigan","2022-07-27","45°56.628'","73°57.542'","17:31","Minnow_trap","N2",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_N_03","Achigan","2022-07-27","45°56.053'","73°57.443'","17:23","Minnow_trap","N3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_N_04","Achigan","2022-07-27","45°56.019'","73°57.327'","17:39","Minnow_trap","N4",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_N_05","Achigan","2022-07-27","45°55.575'","73°57.085'","17:30","Minnow_trap","N5",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_N_06","Achigan","2022-07-27","45°56.580'","73°58.321'","16:28","Minnow_trap","N6",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_N_07","Achigan","2022-07-27","45°56.381'","73°59.731'","16:56","Minnow_trap","N7",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_N_09","Achigan","2022-07-27","45°56.147'","73°57.996'","17:16","Minnow_trap","N9",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_N_11","Achigan","2022-07-27","45°56.575'","73°59.696'","16:44","Minnow_trap","N11",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_N_12","Achigan","2022-07-27","45°56.196'","73°59.879'","16:50","Minnow_trap","N12",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_N_13","Achigan","2022-07-27","45°56.378'","73°59.640'","16:38","Minnow_trap","N13",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_N_14","Achigan","2022-07-27","45°56.072'","73°58.596'","17:10","Minnow_trap","N14",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_N_15","Achigan","2022-07-27","45°56.630'","73°58.332'","16:25","Minnow_trap","N15",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_N_16","Achigan","2022-07-27","45°56.656'","73°57.670'","17:56","Minnow_trap","N16","Juliane",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_N_17","Achigan","2022-07-27","45°56.453'","73°57.183'","17:45","Minnow_trap","N17",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_S_01","Achigan","2022-07-27","45°56.322'","73°59.776'","11:38","Seine","S1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_S_02","Achigan","2022-07-27","45°56.547'","73°59.646'","12:03","Seine","S1","Lea",0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_S_03","Achigan","2022-07-27","45°56.431'","73°58.292'","14:11","Seine","S1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_S_04","Achigan","2022-07-27","45°55.685'","73°57.278'","14:27","Seine","S1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_S_05","Achigan","2022-07-27","45°55.672'","73°57.273'","14:38","Seine","S1","Juliane",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_S_06","Achigan","2022-07-27","45°56.536'","73°57.216'","15:07","Seine","S1","Juliane",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_S_07","Achigan","2022-07-27","45°56.663'","73°57.678'","15:27","Seine","S1","Charles",0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"ACHI_S_08","Achigan","2022-07-27","45°56.660'","73°57.680'","15:48","Seine","S1","Juliane",0,0,10,1,34,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"BEAV_N_01","Beaver","2022-07-07","45°55.536'","74°03.862'","16:40","Minnow_trap","N1","Charles",0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEAV_N_02","Beaver","2022-07-07","45°55.441'","74°03.863'","16:27","Minnow_trap","N2","Charles",0,0,0,0,0,0,137,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
"BEAV_N_03","Beaver","2022-07-07","45°55.431'","74°03.901'","16:29","Minnow_trap","N3","Charles",0,0,0,0,0,0,44,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BEAV_N_04","Beaver","2022-07-07","45°55.475'","74°03.808'","16:24","Minnow_trap","N4","Charles",0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEAV_N_05","Beaver","2022-07-07","45°55.454'","74°03.919'","16:33","Minnow_trap","N5","Charles",0,0,0,0,0,0,33,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEAV_N_06","Beaver","2022-07-07","45°55.462'","74°03.831'","16:25","Minnow_trap","N6","Charles",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEAV_N_07","Beaver","2022-07-07","45°55.518'","74°03.762'","16:19","Minnow_trap","N7","Charles",0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEAV_N_09","Beaver","2022-07-07","45°55.423'","74°03.933'","16:31","Minnow_trap","N9",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEAV_N_11","Beaver","2022-07-07","45°55.517'","74°03.882'","16:38","Minnow_trap","N11",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEAV_N_12","Beaver","2022-07-07","45°55.551'","74°03.832'","16:15","Minnow_trap","N12","Charles",0,0,0,0,0,0,160,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
"BEAV_N_13","Beaver","2022-07-07","45°55.484'","74°03.782'","16:22","Minnow_trap","N13","Charles",0,0,0,0,0,0,113,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BEAV_N_14","Beaver","2022-07-07","45°55.546'","74°03.783'","16:18","Minnow_trap","N14","Charles",0,0,0,0,0,0,128,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"BEAV_N_15","Beaver","2022-07-07","45°55.500'","74°03.913'","16:37","Minnow_trap","N15","Charles",0,0,0,0,0,0,108,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEAV_N_16","Beaver","2022-07-07","45°55.550'","74°03.812'","16:15","Minnow_trap","N16",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEAV_N_17","Beaver","2022-07-07","45°55.483'","74°03.915'","16:36","Minnow_trap","N17",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BEAV_S_01","Beaver","2022-07-07","45°55.549'","74°03.790'","14:25","Seine","S1","Juliane",0,0,0,0,0,0,67,25,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BEAV_S_02","Beaver","2022-07-07","45°55.534'","74°03.869'","15:28","Seine","S1","Juliane",0,0,0,0,0,0,216,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
"BEAV_S_03","Beaver","2022-07-07","45°55.523'","74°03.876'","19:00","Seine","S1","Charles",0,0,0,0,0,0,184,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"BEAV_S_04","Beaver","2022-07-07","45°55.415'","74°03.920'","19:43","Seine","S1","Charles",0,0,0,0,0,0,67,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"COEU_N_01","Coeur","2022-07-15","45°58.016'","74°00.315'","16:28","Minnow_trap","N1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_N_02","Coeur","2022-07-15","45°58.072'","74°00.885'","17:01","Minnow_trap","N2","Juliane",0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_N_03","Coeur","2022-07-15","45°58.221'","74°00.238'","16:13","Minnow_trap","N3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_N_04","Coeur","2022-07-15","45°57.948'","74°00.579'","16:48","Minnow_trap","N4",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_N_05","Coeur","2022-07-15","45°58.064'","74°00.805'","16:58","Minnow_trap","N5",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_N_06","Coeur","2022-07-15","45°58.008'","74°00.582'","16:51","Minnow_trap","N6","Juliane",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_N_07","Coeur","2022-07-15","45°58.195'","74°00.335'","16:15","Minnow_trap","N7",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_N_09","Coeur","2022-07-15","45°58.275'","74°00.480'","17:15","Minnow_trap","N9","Juliane",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_N_11","Coeur","2022-07-15","45°57.932'","74°00.243'","16:34","Minnow_trap","N11","Juliane",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_N_12","Coeur","2022-07-15","45°58.216'","74°00.509'","16:18","Minnow_trap","N12",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_N_13","Coeur","2022-07-15","45°57.941'","74°00.449'","16:39","Minnow_trap","N13",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_N_14","Coeur","2022-07-15","45°58.285'","74°00.344'","17:58","Minnow_trap","N14","Juliane",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_N_15","Coeur","2022-07-15","45°58.082'","74°00.762'","17:06","Minnow_trap","N15",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_N_16","Coeur","2022-07-15","45°58.045'","74°00.483'","16:24","Minnow_trap","N16",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_N_17","Coeur","2022-07-15","45°57.832'","74°00.565'","16:44","Minnow_trap","N17",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_S_01","Coeur","2022-07-15","45°58.216'","74°00.690'","14:10","Seine","S1",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_S_02","Coeur","2022-07-15","45°58.133'","74°00.998'","14:45","Seine","S1","Juliane",0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_S_03","Coeur","2022-07-15","45°58.143'","74°00.833'","15:05","Seine","S1","Charles",0,0,0,0,57,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,10,0,0,0,0,0,0,0,0,0,0,0
"COEU_S_04","Coeur","2022-07-15","45°58.099'","74°01.125'","15:35","Seine","S1","Juliane",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_S_05","Coeur","2022-07-15","45°58.266'","74°00.217'","16:00","Seine","S1","Charles",0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"COEU_S_06","Coeur","2022-07-15","45°58.260'","74°00.212'","17:24","Seine","S1","Charles",0,0,0,0,36,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,0,0,0,0,0,0,0,0,0,0
"CORN_N_01","Cornu","2022-06-28","45°53.134'","74°00.336'","16:26","Minnow_trap","N1","Charles",0,0,1,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_N_02","Cornu","2022-06-28","45°52.866'","73°59.871'","16:48","Minnow_trap","N2",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_N_03","Cornu","2022-06-28","45°52.931'","74°00.130'","16:14","Minnow_trap","N3",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_N_04","Cornu","2022-06-28","45°53.074'","73°59.806'","16:43","Minnow_trap","N4",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_N_05","Cornu","2022-06-28","45°52.777'","73°59.954'","16:55","Minnow_trap","N5",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_N_06","Cornu","2022-06-28","45°53.071'","74°00.302'","16:20","Minnow_trap","N6",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_N_07","Cornu","2022-06-28","45°52.978'","73°59.873'","16:45","Minnow_trap","N7",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_N_09","Cornu","2022-06-28","45°53.049'","73°59.928'","16:40","Minnow_trap","N9","Charles",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_N_11","Cornu","2022-06-28","45°52.954'","74°00.037'","16:35","Minnow_trap","N11","Charles",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_N_12","Cornu","2022-06-28","45°52.791'","73°59.869'","16:53","Minnow_trap","N12",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_N_13","Cornu","2022-06-28","45°53.040'","74°00.124'","16:31","Minnow_trap","N13",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_N_14","Cornu","2022-06-28","45°52.805'","74°00.140'","16:06","Minnow_trap","N14",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_N_15","Cornu","2022-06-28","45°52.830'","73°59.817'","16:50","Minnow_trap","N15",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_N_16","Cornu","2022-06-28","45°52.798'","74°00.215'","16:08","Minnow_trap","N16",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_N_17","Cornu","2022-06-28","45°53.087'","74°00.336'","16:23","Minnow_trap","N17",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_S_01","Cornu","2022-06-28","45°52.800'","74°00.201'","13:00","Seine","S1","Charles",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_S_02","Cornu","2022-06-28","45°52.809'","74°00.216'","15:20","Seine","S1","Juliane",0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_S_03","Cornu","2022-06-28","45°53.071'","73°59.794'","18:10","Seine","S1","Lea",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"CORN_S_04","Cornu","2022-06-28","45°53.065'","73°59.760'","18:40","Seine","S1","Juliane",0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
"CORR_N_01","Corriveau","2022-06-15","45°58.677'","74°00.084'","15:10","Minnow_trap","N1","Juliane",0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"CORR_N_02","Corriveau","2022-06-15","45°58.598'","73°59.954'","15:24","Minnow_trap","N2","Juliane",0,0,0,0,2,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"CORR_N_03","Corriveau","2022-06-15","45°58.710'","73°59.984'","15:00","Minnow_trap","N3","Juliane",0,0,0,0,15,0,0,0,0,0,15,11,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0
"CORR_N_04","Corriveau","2022-06-15","45°58.661'","74°00.123'","15:12","Minnow_trap","N4","Juliane",0,0,0,0,3,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
"CORR_N_05","Corriveau","2022-06-15","45°58.597'","74°00.015'","15:22","Minnow_trap","N5",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORR_N_06","Corriveau","2022-06-15","45°58.606'","74°00.121'","15:19","Minnow_trap","N6","Juliane",0,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"CORR_N_07","Corriveau","2022-06-15","45°58.687'","74°00.040'","15:07","Minnow_trap","N7",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORR_N_08","Corriveau","2022-06-15","45°58.613'","74°00.152'","15:17","Minnow_trap","N8","Juliane",0,0,0,0,17,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0
"CORR_N_09","Corriveau","2022-06-15","45°58.702'","74°00.011'","15:03","Minnow_trap","N9","Juliane",0,0,0,0,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"CORR_N_10","Corriveau","2022-06-15","45°58.597'","74°00.053'","15:21","Minnow_trap","N10","Juliane",0,0,0,0,19,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
"CORR_N_11","Corriveau","2022-06-15","45°58.695'","74°00.021'","15:05","Minnow_trap","N11","Juliane",0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"CORR_N_12","Corriveau","2022-06-15","45°58.650'","74°00.173'","15:15","Minnow_trap","N12","Juliane",0,0,0,0,4,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
"CORR_N_13","Corriveau","2022-06-15","45°58.669'","73°59.938'","15:30","Minnow_trap","N13","Juliane",0,0,0,0,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
"CORR_N_14","Corriveau","2022-06-15","45°58.624'","74°00.182'","15:16","Minnow_trap","N14","Juliane",0,0,0,0,8,0,0,0,0,0,33,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"CORR_N_15","Corriveau","2022-06-15","45°58.626'","73°59.965'","15:26","Minnow_trap","N15","Juliane",0,0,0,0,0,0,0,1,0,0,29,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
