"Sampling_ID","Lake","Watershed","inf_fish","tot_fish","prev_fish","tot_Cyprinidae","Silt","Sand","Rock","Boulder","Macrophyte","Site_depth","Trunk","Temperature","Temp.L","Conductivity","Cond.L","DO","DO.L","Turbidity","Turb.L","pH","pH.L","TOC","TN_TP","TOC.L","TN_TP.L","TN","TN.L","TP","TP.L","Lake_area","Perimeter","Area_Perimeter","Mean_depth","Max_depth","WRT","Drainage_area","Elevation","Connectivity","Species_richness","SpR.L","Diversity","Diversity.L","Evenness","Evenness.L"
"ACHI_T_01","Achigan","Achigan",0,9,0,0,0,5,74.8,20.2,3.8,118.5,15,25.2,24.4,56.6,55.85,8.37,8.605,0.06,0.198333333333333,7.25,7.23,4.75,54.0059002531998,4.74166666666667,45.4636936284744,232.49,252.25,4.3049,5.54838333333333,5.32,22833.96,232.986306361227,12.3,26.5,1.18,97.06,209,1459.406,1,4,0,0.63087207350203,NA,0.755579914864783
"ACHI_T_03","Achigan","Achigan",1,8,0.125,0,28.7,0,20.8,49.5,6.9,115,26,24.5,24.4,55.7,55.85,8.66,8.605,0.17,0.198333333333333,7.56,7.23,4.75,50.9423701160755,4.74166666666667,45.4636936284744,299.75,252.25,5.8841,5.54838333333333,5.32,22833.96,232.986306361227,12.3,26.5,1.18,97.06,209,1459.406,1,4,0,0.63087207350203,NA,0.755579914864783
"ACHI_T_04","Achigan","Achigan",1,14,0.0714285714285714,0,0,0,67,33,0.2,147,9,24.5,24.4,55.6,55.85,8.67,8.605,0.18,0.198333333333333,7.38,7.23,4.67,43.6821449530516,4.74166666666667,45.4636936284744,238.19,252.25,5.4528,5.54838333333333,5.32,22833.96,232.986306361227,12.3,26.5,1.18,97.06,209,1459.406,1,4,0,0.63087207350203,NA,0.755579914864783
"ACHI_T_05","Achigan","Achigan",0,141,0,88,9,43.8,45.6,1.6,36.7,37.5,1,23.6,24.4,56.1,55.85,8.78,8.605,0.24,0.198333333333333,6.83,7.23,4.78,36.3943028485757,4.74166666666667,45.4636936284744,242.75,252.25,6.67,5.54838333333333,5.32,22833.96,232.986306361227,12.3,26.5,1.18,97.06,209,1459.406,3,4,0.484281474774911,0.63087207350203,0.677014747763322,0.755579914864783
"ACHI_T_06","Achigan","Achigan",3,9,0.333333333333333,0,0,11.5,72.8,15.7,2.2,66,12,24.3,24.4,55.9,55.85,8.6,8.605,0.16,0.198333333333333,6.98,7.23,4.83,50.5220917284703,4.74166666666667,45.4636936284744,240.47,252.25,4.7597,5.54838333333333,5.32,22833.96,232.986306361227,12.3,26.5,1.18,97.06,209,1459.406,1,4,0,0.63087207350203,NA,0.755579914864783
"COEU_T_01","Coeur","Coeur",72,122,0.59016393442623,0,43,0,27.5,29.5,2.3,187.5,80,23.6,23.175,53.8,53.475,8.37,8.3175,0.29,0.275,7.38,7.135,5.75,43.9168673437336,5.655,45.3150109766935,419.45,365.87,9.551,8.073925,0.437,7359.39,59.3799214337058,3.1,7.6,1.3,1.736,349,999.039,2,4,0.495162590701424,0.52744291311543,0.993009796542173,0.613783233564026
"COEU_T_02","Coeur","Coeur",75,102,0.735294117647059,0,36.5,0,29.8,33.7,22,62.5,16,23.3,23.175,53.5,53.475,8.38,8.3175,0.33,0.275,7.25,7.135,5.63,43.7984771093454,5.655,45.3150109766935,370.43,365.87,8.4576,8.073925,0.437,7359.39,59.3799214337058,3.1,7.6,1.3,1.736,349,999.039,3,4,0.468089196462899,0.52744291311543,0.747162929904815,0.613783233564026
"COEU_T_03","Coeur","Coeur",58,86,0.674418604651163,0,33.9,0,20.5,45.6,9,80,9,23,23.175,53.4,53.475,8.26,8.3175,0.2,0.275,7.13,7.135,5.6,45.2378029652059,5.655,45.3150109766935,331.67,365.87,7.3317,8.073925,0.437,7359.39,59.3799214337058,3.1,7.6,1.3,1.736,349,999.039,3,4,0.513520822065982,0.52744291311543,0.728108092422368,0.613783233564026
"COEU_T_04","Coeur","Coeur",53,81,0.654320987654321,0,57,0,15.9,27.1,10.6,108,79,22.8,23.175,53.2,53.475,8.26,8.3175,0.28,0.275,6.78,7.135,5.64,49.1603646087932,5.655,45.3150109766935,341.93,365.87,6.9554,8.073925,0.437,7359.39,59.3799214337058,3.1,7.6,1.3,1.736,349,999.039,3,4,0.532235939643347,0.52744291311543,0.749157662074989,0.613783233564026
"CORN_T_01","Cornu","Cornu",68,122,0.557377049180328,20,62,0,1,37,0,370,380,22.6,22.575,147.8,149.375,8.69,8.4725,0.74,0.655,7.33,7.145,3.97,46.9916817359855,4.05,36.2393813691661,324.83,337.655,6.9125,9.31735,0.218,3532.96,61.7046329423486,6.3,15.3,2.3,1.059,236.8,845.637,4,5,0.6126041386724,0.544438600336036,0.753362850431602,0.537053305659002
"CORN_T_02","Cornu","Cornu",275,426,0.645539906103286,131,100,0,0,0,25,39.5,45,22.5,22.575,149.6,149.375,8,8.4725,0.41,0.655,6.87,7.145,4.05,38.4068707795188,4.05,36.2393813691661,292.91,337.655,7.6265,9.31735,0.218,3532.96,61.7046329423486,6.3,15.3,2.3,1.059,236.8,845.637,3,5,0.44500650223721,0.544438600336036,0.624331039623722,0.537053305659002
"CORN_T_03","Cornu","Cornu",148,561,0.263814616755793,371,97.4,0,0,2.6,75.5,44.5,11,22.6,22.575,152.3,149.375,8.1,8.4725,1.34,0.655,6.77,7.145,4.05,26.8246621790791,4.05,36.2393813691661,374.99,337.655,13.9793,9.31735,0.218,3532.96,61.7046329423486,6.3,15.3,2.3,1.059,236.8,845.637,4,5,0.460579370299408,0.544438600336036,0.522506453682649,0.537053305659002
"CORN_T_04","Cornu","Cornu",58,61,0.950819672131147,0,18,0,65.5,16.5,14.9,45,18,22.6,22.575,147.8,149.375,9.1,8.4725,0.13,0.655,7.61,7.145,4.13,40.8965730022511,4.05,36.2393813691661,357.89,337.655,8.7511,9.31735,0.218,3532.96,61.7046329423486,6.3,15.3,2.3,1.059,236.8,845.637,2,5,0.0322493953238376,0.544438600336036,0.120681014013524,0.537053305659002
"CORR_T_01","Corriveau","Achigan",29,388,0.0747422680412371,337,77.5,0,14,8.5,35,107,108,20.3,20.65,19.1,19.1,8.06,8.165,0.49,0.44,5.76,5.93,8.42,32.0934075630926,8.335,28.995218803606,400.07,397.22,12.4658,13.6995,0.057,1332.07,42.7905440404784,6.8,14.4,0.06,11.23,324.5,959.488,2,3,0.228331916250399,0.279972551710617,0.561383193478796,0.412527034758763
"CORR_T_02","Corriveau","Achigan",13,420,0.030952380952381,335,57.5,6,12,24.5,27.5,89.5,33,21,20.65,19.1,19.1,8.27,8.165,0.39,0.44,6.1,5.93,8.25,26.4089411512603,8.335,28.995218803606,394.37,397.22,14.9332,13.6995,0.057,1332.07,42.7905440404784,6.8,14.4,0.06,11.23,324.5,959.488,2,3,0.322845804988662,0.279972551710617,0.726664517279635,0.412527034758763
"CROC_T_01","Croche","Achigan",15,347,0.0432276657060519,231,100,0,0,0,39.5,73.5,52,21.3,21.6,14.2,14.2333333333333,7.84,7.91666666666667,0.38,0.27,6.09,6.01,6.36,47.0130383805851,6.01666666666667,37.2721159749573,332.81,297.47,7.0791,7.98103333333333,0.179,4550.94,39.3325334985739,4.7,11.4,1.4,1.072,358.7,452.447,2,3,0.445083008745193,0.490099143031303,0.919253454878239,0.621887624404689
"CROC_T_04","Croche","Achigan",35,251,0.139442231075697,127,97.5,0,1,1.5,10.1,97,171,21.9,21.6,14.3,14.2333333333333,8.2,7.91666666666667,0.19,0.27,5.89,6.01,5.39,32.3925481873131,6.01666666666667,37.2721159749573,260.99,297.47,8.0571,7.98103333333333,0.179,4550.94,39.3325334985739,4.7,11.4,1.4,1.072,358.7,452.447,2,3,0.49992857256234,0.490099143031303,0.99989694953628,0.621887624404689
"CROC_T_06","Croche","Achigan",16,70,0.228571428571429,23,50.5,0,46.1,2.9,3.3,94,73,21.6,21.6,14.2,14.2333333333333,7.71,7.91666666666667,0.24,0.27,6.05,6.01,6.3,33.9063688698634,6.01666666666667,37.2721159749573,298.61,297.47,8.8069,7.98103333333333,0.179,4550.94,39.3325334985739,4.7,11.4,1.4,1.072,358.7,452.447,2,3,0.441224489795918,0.490099143031303,0.913460145256963,0.621887624404689
"CROM_T_02","Cromwell","Achigan",17,21,0.80952380952381,0,80,0,6,27,56,76,79,19.7,19.7,19.2,19.4666666666667,6.66,5.55666666666667,0.91,0.653333333333333,5.72,5.79,7.87,33.1308731529124,7.75,31.8545179122399,381.83,361.69,11.5249,11.3544333333333,0.102,1916.93,53.2100807019557,3.5,9.8,0.078,8.136,336.8,785.556,2,4,0.090702947845805,0.532273114527973,0.276195427647939,0.608441074982698
"CROM_T_03","Cromwell","Achigan",2,89,0.0224719101123595,79,71,0,14,15,61.5,84.5,27,19.6,19.7,19.6,19.4666666666667,4.56,5.55666666666667,0.56,0.653333333333333,5.76,5.79,7.57,28.9222154554067,7.75,31.8545179122399,341.93,361.69,11.8224,11.3544333333333,0.102,1916.93,53.2100807019557,3.5,9.8,0.078,8.136,336.8,785.556,3,4,0.204772124731726,0.532273114527973,0.382352109800996,0.608441074982698
"CROM_T_04","Cromwell","Achigan",17,47,0.361702127659574,9,89.8,0,5.8,4.4,69,117,53,19.8,19.7,19.6,19.4666666666667,5.45,5.55666666666667,0.49,0.653333333333333,5.89,5.79,7.81,33.7168719671519,7.75,31.8545179122399,361.31,361.69,10.716,11.3544333333333,0.102,1916.93,53.2100807019557,3.5,9.8,0.078,8.136,336.8,785.556,3,4,0.432775011317338,0.532273114527973,0.692178459687642,0.608441074982698
"ECHO_T_01","Echo","Echo",67,181,0.370165745856354,83,87,0,5.8,7.2,53.5,50.5,45,23.5,23.96,174.3,166.22,9.84,9.914,1.8,2.104,8,8.106,5.58,36.563650944517,5.674,34.0148988801992,492.41,527.75,13.4672,15.51526,1.6,12151.01,131.676296867503,1.8,9,0.43,12.02,233,809.508,5,6,0.636427459479259,0.587264138925549,0.703190361455899,0.610956767465272
"ECHO_T_02","Echo","Echo",4,8,0.5,3,59.5,19,10.5,10.5,49,39.5,27,25,23.96,171,166.22,10.07,9.914,3.5,2.104,8.17,8.106,5.75,32.2594675003782,5.674,34.0148988801992,511.79,527.75,15.8648,15.51526,1.6,12151.01,131.676296867503,1.8,9,0.43,12.02,233,809.508,3,6,0.65625,0.587264138925549,0.985056822321508,0.610956767465272
"ECHO_T_03","Echo","Echo",7,86,0.0813953488372093,69,0,13,85,2,1.1,41.3,21,23.4,23.96,159.9,166.22,9.77,9.914,1.54,2.104,8.15,8.106,5.65,33.0060897781898,5.674,34.0148988801992,519.77,527.75,15.7477,15.51526,1.6,12151.01,131.676296867503,1.8,9,0.43,12.02,233,809.508,3,6,0.335045970795024,0.587264138925549,0.5693558412048,0.610956767465272
"ECHO_T_04","Echo","Echo",17,24,0.708333333333333,0,75,0,19.5,5.5,11.5,51,17,23.3,23.96,159.6,166.22,9.71,9.914,2.12,2.104,7.96,8.106,5.72,30.6771632392671,5.674,34.0148988801992,593.87,527.75,19.3587,15.51526,1.6,12151.01,131.676296867503,1.8,9,0.43,12.02,233,809.508,4,6,0.520833333333333,0.587264138925549,0.662172013099515,0.610956767465272
"ECHO_T_05","Echo","Echo",30,144,0.208333333333333,94,84,0,7,9,58.5,52,10,24.6,23.96,166.3,166.22,10.18,9.914,1.56,2.104,8.25,8.106,5.67,39.6494112453284,5.674,34.0148988801992,520.91,527.75,13.1379,15.51526,1.6,12151.01,131.676296867503,1.8,9,0.43,12.02,233,809.508,5,6,0.483699845679012,0.587264138925549,0.517435344881501,0.610956767465272
"FOUR_T_01","Fournelle","Connelly",34,78,0.435897435897436,0,96.9,0,3,0.1,31.5,82,41,24.9,24.6666666666667,62.5,61.3,8.44,8.72,0.76,1.22333333333333,6.68,7.22333333333333,5.41,34.4177248794301,5.4,35.3508919085165,311.15,316.09,9.0404,8.9415,0.189,3082.17,61.3204333310622,2.9,8.4,0.22,4.39,279.6,785.674,2,5,0.491781722550953,0.416686718759894,0.98811083652183,0.436217629650035
"FOUR_T_02","Fournelle","Connelly",129,198,0.651515151515151,0,95.4,0,1.2,3.2,9.6,125.5,26,24.5,24.6666666666667,60.7,61.3,8.94,8.72,1.58,1.22333333333333,7.38,7.22333333333333,5.42,31.8723358805309,5.4,35.3508919085165,328.25,316.09,10.2989,8.9415,0.189,3082.17,61.3204333310622,2.9,8.4,0.22,4.39,279.6,785.674,3,5,0.45684113865932,0.416686718759894,0.713458830581382,0.436217629650035
"FOUR_T_03","Fournelle","Connelly",205,286,0.716783216783217,0,100,0,0,0,8.5,61.5,57,24.6,24.6666666666667,60.7,61.3,8.78,8.72,1.33,1.22333333333333,7.61,7.22333333333333,5.37,41.2640944797734,5.4,35.3508919085165,308.87,316.09,7.4852,8.9415,0.189,3082.17,61.3204333310622,2.9,8.4,0.22,4.39,279.6,785.674,4,5,0.298767665900533,0.416686718759894,0.385765506813325,0.436217629650035
"MORE_T_01","Morency","Morency",266,294,0.904761904761905,0,88.5,0,3.6,7.8,8.5,30.5,15,24.8,23.575,132.7,129.175,10.38,9.68,2.38,1.8875,8.5,8.2775,4.49,47.4887850591696,4.335,47.8191561524895,356.75,352.475,7.5123,7.371,0.256,2934.61,87.2347603259036,8.8,20.3,0.6,2.38,271,1131.794,2,4,0.0334351427645889,0.340675827944346,0.124287437635232,0.425866251648039
"MORE_T_02","Morency","Morency",192,218,0.880733944954128,0,42.8,0.7,16.5,41,5.9,168,94,24,23.575,129.3,129.175,9.53,9.68,4.32,1.8875,8.16,8.2775,4.3,49.6089952847298,4.335,47.8191561524895,341.93,352.475,6.8925,7.371,0.256,2934.61,87.2347603259036,8.8,20.3,0.6,2.38,271,1131.794,2,4,0.120191903038465,0.340675827944346,0.343974514359534,0.425866251648039
"MORE_T_03","Morency","Morency",304,551,0.551724137931034,0,24.5,0,35.5,40.5,13.5,129,83,23.2,23.575,128.6,129.175,9.29,9.68,0.42,1.8875,8.17,8.2775,4.25,42.2384815479089,4.335,47.8191561524895,355.61,352.475,8.4191,7.371,0.256,2934.61,87.2347603259036,8.8,20.3,0.6,2.38,271,1131.794,2,4,0.0426085553077888,0.340675827944346,0.151313593086123,0.425866251648039
"MORE_T_04","Morency","Morency",116,449,0.258351893095768,279,53,3,16.5,27.5,57.3,58,31,22.3,23.575,126.1,129.175,9.52,9.68,0.43,1.8875,8.28,8.2775,4.3,53.3940931817841,4.335,47.8191561524895,355.61,352.475,6.6601,7.371,0.256,2934.61,87.2347603259036,8.8,20.3,0.6,2.38,271,1131.794,3,4,0.481852768587457,0.340675827944346,0.662999876978793,0.425866251648039
"PINR_T_01","Pin_rouge","Achigan",2,2,1,0,100,0,0,0,61,32.5,5,21,20.8666666666667,45.5,45.7,7.7,7.97,0.39,0.286666666666667,6.74,6.72333333333333,8.27,36.8321170022568,8.23666666666667,38.88655712414,502.67,457.07,13.6476,11.7539333333333,0.152,2181.57,69.6745921515239,4.9,14,0.17,7.56,322,511.121,1,5,0,0.338446554662771,NA,0.39934571810731
"PINR_T_02","Pin_rouge","Achigan",114,177,0.64406779661017,0,69.5,9,4.5,17,23.3,56.5,37,20.9,20.8666666666667,45.9,45.7,8.13,7.97,0.35,0.286666666666667,6.42,6.72333333333333,8.29,34.2863737556494,8.23666666666667,38.88655712414,460.49,457.07,13.4307,11.7539333333333,0.152,2181.57,69.6745921515239,4.9,14,0.17,7.56,322,511.121,3,5,0.361007373360146,0.338446554662771,0.563920169241048,0.39934571810731
"PINR_T_03","Pin_rouge","Achigan",33,43,0.767441860465116,0,98.8,0.7,0.5,0,9.2,26.5,20,20.7,20.8666666666667,45.7,45.7,8.08,7.97,0.12,0.286666666666667,7.01,6.72333333333333,8.15,49.8625282580803,8.23666666666667,38.88655712414,408.05,457.07,8.1835,11.7539333333333,0.152,2181.57,69.6745921515239,4.9,14,0.17,7.56,322,511.121,2,5,0.20551649540292,0.338446554662771,0.518569731788306,0.39934571810731
"TRIT_T_01","Triton","Achigan",0,539,0,1,98.8,0,0,1.2,57.5,128.5,27,20.9,20.9,14.3,14.25,7.52,7.535,1.19,1.005,5.99,5.84,7.09,40.3894800660632,7.51,38.9058769746533,386.39,382.97,9.5666,9.8435,0.017,680,25,2.5,4.3,0.46,0.163,364,452.447,2,3,0.00370369095521506,0.00235017301038076,0.0195092715549846,0.00829350858807001
"TRIT_T_02","Triton","Achigan",0,311,0,0,91.5,0,4.5,4,41,121,166,20.9,20.9,14.2,14.25,7.55,7.535,0.82,1.005,5.69,5.84,7.93,37.5034583613296,7.51,38.9058769746533,379.55,382.97,10.1204,9.8435,0.017,680,25,2.5,4.3,0.46,0.163,364,452.447,1,3,0,0.00235017301038076,NA,0.00829350858807001
