"Method","Metric","Site","Value"
"Minnow_trap","Species richness","ACHI_N_14",0
"Minnow_trap","Species richness","ACHI_N_15",0
"Minnow_trap","Species richness","ACHI_N_01",0
"Minnow_trap","Species richness","ACHI_N_02",0
"Minnow_trap","Species richness","ACHI_N_03",0
"Minnow_trap","Species richness","ACHI_N_04",0
"Minnow_trap","Species richness","ACHI_N_05",0
"Minnow_trap","Species richness","ACHI_N_06",0
"Minnow_trap","Species richness","ACHI_N_07",0
"Minnow_trap","Species richness","ACHI_N_09",0
"Minnow_trap","Species richness","ACHI_N_11",0
"Minnow_trap","Species richness","ACHI_N_12",0
"Minnow_trap","Species richness","ACHI_N_13",0
"Minnow_trap","Species richness","ACHI_N_16",1
"Minnow_trap","Species richness","ACHI_N_17",0
"Minnow_trap","Species richness","BEAV_N_01",1
"Minnow_trap","Species richness","BEAV_N_02",2
"Minnow_trap","Species richness","BEAV_N_03",2
"Minnow_trap","Species richness","BEAV_N_04",2
"Minnow_trap","Species richness","BEAV_N_05",2
"Minnow_trap","Species richness","BEAV_N_06",1
"Minnow_trap","Species richness","BEAV_N_07",1
"Minnow_trap","Species richness","BEAV_N_09",0
"Minnow_trap","Species richness","BEAV_N_11",0
"Minnow_trap","Species richness","BEAV_N_12",2
"Minnow_trap","Species richness","BEAV_N_13",2
"Minnow_trap","Species richness","BEAV_N_14",2
"Minnow_trap","Species richness","BEAV_N_15",2
"Minnow_trap","Species richness","BEAV_N_16",0
"Minnow_trap","Species richness","BEAV_N_17",0
"Minnow_trap","Species richness","COEU_N_03",0
"Minnow_trap","Species richness","COEU_N_04",0
"Minnow_trap","Species richness","COEU_N_05",0
"Minnow_trap","Species richness","COEU_N_06",1
"Minnow_trap","Species richness","COEU_N_07",0
"Minnow_trap","Species richness","COEU_N_09",1
"Minnow_trap","Species richness","COEU_N_11",1
"Minnow_trap","Species richness","COEU_N_12",0
"Minnow_trap","Species richness","COEU_N_13",0
"Minnow_trap","Species richness","COEU_N_14",1
"Minnow_trap","Species richness","COEU_N_15",0
"Minnow_trap","Species richness","COEU_N_16",0
"Minnow_trap","Species richness","COEU_N_17",0
"Minnow_trap","Species richness","COEU_N_01",0
"Minnow_trap","Species richness","COEU_N_02",2
"Minnow_trap","Species richness","CORN_N_01",3
"Minnow_trap","Species richness","CORN_N_02",0
"Minnow_trap","Species richness","CORN_N_03",0
"Minnow_trap","Species richness","CORN_N_04",0
"Minnow_trap","Species richness","CORN_N_11",1
"Minnow_trap","Species richness","CORN_N_12",0
"Minnow_trap","Species richness","CORN_N_13",0
"Minnow_trap","Species richness","CORN_N_14",0
"Minnow_trap","Species richness","CORN_N_15",0
"Minnow_trap","Species richness","CORN_N_16",0
"Minnow_trap","Species richness","CORN_N_17",0
"Minnow_trap","Species richness","CORN_N_05",0
"Minnow_trap","Species richness","CORN_N_06",0
"Minnow_trap","Species richness","CORN_N_07",0
"Minnow_trap","Species richness","CORN_N_09",1
"Minnow_trap","Species richness","CORR_N_11",2
"Minnow_trap","Species richness","CORR_N_12",2
"Minnow_trap","Species richness","CORR_N_09",2
"Minnow_trap","Species richness","CORR_N_10",2
"Minnow_trap","Species richness","CORR_N_15",4
"Minnow_trap","Species richness","CORR_N_06",3
"Minnow_trap","Species richness","CORR_N_07",0
"Minnow_trap","Species richness","CORR_N_08",3
"Minnow_trap","Species richness","CORR_N_14",3
"Minnow_trap","Species richness","CORR_N_01",2
"Minnow_trap","Species richness","CORR_N_02",4
"Minnow_trap","Species richness","CORR_N_13",2
"Minnow_trap","Species richness","CORR_N_04",2
"Minnow_trap","Species richness","CORR_N_05",0
"Minnow_trap","Species richness","CORR_N_03",3
"Minnow_trap","Species richness","CROC_N_06",0
"Minnow_trap","Species richness","CROC_N_04",1
"Minnow_trap","Species richness","CROC_N_05",2
"Minnow_trap","Species richness","CROC_N_01",2
"Minnow_trap","Species richness","CROC_N_02",3
"Minnow_trap","Species richness","CROC_N_03",1
"Minnow_trap","Species richness","CROC_N_07",3
"Minnow_trap","Species richness","CROC_N_09",1
"Minnow_trap","Species richness","CROC_N_11",2
"Minnow_trap","Species richness","CROC_N_12",2
"Minnow_trap","Species richness","CROC_N_13",2
"Minnow_trap","Species richness","CROC_N_14",1
"Minnow_trap","Species richness","CROC_N_15",1
"Minnow_trap","Species richness","CROC_N_16",2
"Minnow_trap","Species richness","CROC_N_17",2
"Minnow_trap","Species richness","CROM_N_07",0
"Minnow_trap","Species richness","CROM_N_09",1
"Minnow_trap","Species richness","CROM_N_11",1
"Minnow_trap","Species richness","CROM_N_12",1
"Minnow_trap","Species richness","CROM_N_13",0
"Minnow_trap","Species richness","CROM_N_14",1
"Minnow_trap","Species richness","CROM_N_15",1
"Minnow_trap","Species richness","CROM_N_01",3
"Minnow_trap","Species richness","CROM_N_02",1
"Minnow_trap","Species richness","CROM_N_03",0
"Minnow_trap","Species richness","CROM_N_04",1
"Minnow_trap","Species richness","CROM_N_05",1
"Minnow_trap","Species richness","CROM_N_06",1
"Minnow_trap","Species richness","CROM_N_17",1
"Minnow_trap","Species richness","CROM_N_16",1
"Minnow_trap","Species richness","ECHO_N_03",0
"Minnow_trap","Species richness","ECHO_N_02",1
"Minnow_trap","Species richness","ECHO_N_07",2
"Minnow_trap","Species richness","ECHO_N_04",1
"Minnow_trap","Species richness","ECHO_N_05",0
"Minnow_trap","Species richness","ECHO_N_06",1
"Minnow_trap","Species richness","ECHO_N_13",1
"Minnow_trap","Species richness","ECHO_N_14",0
"Minnow_trap","Species richness","ECHO_N_15",1
"Minnow_trap","Species richness","ECHO_N_16",2
"Minnow_trap","Species richness","ECHO_N_17",0
"Minnow_trap","Species richness","ECHO_N_09",1
"Minnow_trap","Species richness","ECHO_N_11",2
"Minnow_trap","Species richness","ECHO_N_12",1
"Minnow_trap","Species richness","ECHO_N_01",3
"Minnow_trap","Species richness","FOUR_N_12",1
"Minnow_trap","Species richness","FOUR_N_13",0
"Minnow_trap","Species richness","FOUR_N_11",0
"Minnow_trap","Species richness","FOUR_N_01",0
"Minnow_trap","Species richness","FOUR_N_02",0
"Minnow_trap","Species richness","FOUR_N_03",0
"Minnow_trap","Species richness","FOUR_N_04",1
"Minnow_trap","Species richness","FOUR_N_05",1
"Minnow_trap","Species richness","FOUR_N_06",1
"Minnow_trap","Species richness","FOUR_N_07",0
"Minnow_trap","Species richness","FOUR_N_09",1
"Minnow_trap","Species richness","FOUR_N_15",0
"Minnow_trap","Species richness","FOUR_N_16",0
"Minnow_trap","Species richness","FOUR_N_17",0
"Minnow_trap","Species richness","FOUR_N_14",1
"Minnow_trap","Species richness","MONT_N_17",1
"Minnow_trap","Species richness","MONT_N_06",1
"Minnow_trap","Species richness","MONT_N_07",2
"Minnow_trap","Species richness","MONT_N_09",1
"Minnow_trap","Species richness","MONT_N_11",1
"Minnow_trap","Species richness","MONT_N_12",0
"Minnow_trap","Species richness","MONT_N_13",0
"Minnow_trap","Species richness","MONT_N_14",0
"Minnow_trap","Species richness","MONT_N_15",1
"Minnow_trap","Species richness","MONT_N_16",1
"Minnow_trap","Species richness","MONT_N_01",0
"Minnow_trap","Species richness","MONT_N_02",0
"Minnow_trap","Species richness","MONT_N_03",0
"Minnow_trap","Species richness","MONT_N_04",0
"Minnow_trap","Species richness","MONT_N_05",1
"Minnow_trap","Species richness","MORE_N_03",1
"Minnow_trap","Species richness","MORE_N_04",1
"Minnow_trap","Species richness","MORE_N_05",1
"Minnow_trap","Species richness","MORE_N_06",1
"Minnow_trap","Species richness","MORE_N_07",1
"Minnow_trap","Species richness","MORE_N_09",1
"Minnow_trap","Species richness","MORE_N_11",1
"Minnow_trap","Species richness","MORE_N_12",1
"Minnow_trap","Species richness","MORE_N_13",1
"Minnow_trap","Species richness","MORE_N_01",1
"Minnow_trap","Species richness","MORE_N_02",1
"Minnow_trap","Species richness","MORE_N_15",1
"Minnow_trap","Species richness","MORE_N_16",1
"Minnow_trap","Species richness","MORE_N_17",1
"Minnow_trap","Species richness","MORE_N_14",1
"Minnow_trap","Species richness","PINR_N_17",1
"Minnow_trap","Species richness","PINR_N_14",1
"Minnow_trap","Species richness","PINR_N_15",0
"Minnow_trap","Species richness","PINR_N_16",2
"Minnow_trap","Species richness","PINR_N_01",0
"Minnow_trap","Species richness","PINR_N_02",0
"Minnow_trap","Species richness","PINR_N_03",1
"Minnow_trap","Species richness","PINR_N_04",0
"Minnow_trap","Species richness","PINR_N_05",0
"Minnow_trap","Species richness","PINR_N_06",2
"Minnow_trap","Species richness","PINR_N_07",0
"Minnow_trap","Species richness","PINR_N_09",2
"Minnow_trap","Species richness","PINR_N_11",1
"Minnow_trap","Species richness","PINR_N_12",0
"Minnow_trap","Species richness","PINR_N_13",0
"Minnow_trap","Species richness","STON_N_10",1
"Minnow_trap","Species richness","STON_N_07",0
"Minnow_trap","Species richness","STON_N_08",2
"Minnow_trap","Species richness","STON_N_09",1
"Minnow_trap","Species richness","STON_N_01",0
"Minnow_trap","Species richness","STON_N_02",0
"Minnow_trap","Species richness","STON_N_03",0
"Minnow_trap","Species richness","STON_N_04",1
"Minnow_trap","Species richness","STON_N_05",0
"Minnow_trap","Species richness","STON_N_06",1
"Minnow_trap","Species richness","STON_N_11",1
"Minnow_trap","Species richness","STON_N_12",0
"Minnow_trap","Species richness","STON_N_13",0
"Minnow_trap","Species richness","STON_N_14",0
"Minnow_trap","Species richness","STON_N_15",1
"Minnow_trap","Species richness","TRAC_N_01",0
"Minnow_trap","Species richness","TRAC_N_02",0
"Minnow_trap","Species richness","TRAC_N_03",0
"Minnow_trap","Species richness","TRAC_N_04",0
"Minnow_trap","Species richness","TRAC_N_05",0
"Minnow_trap","Species richness","TRAC_N_06",1
"Minnow_trap","Species richness","TRAC_N_07",0
"Minnow_trap","Species richness","TRAC_N_09",0
"Minnow_trap","Species richness","TRAC_N_11",0
"Minnow_trap","Species richness","TRAC_N_12",0
"Minnow_trap","Species richness","TRAC_N_13",0
"Minnow_trap","Species richness","TRAC_N_14",0
"Minnow_trap","Species richness","TRAC_N_15",0
"Minnow_trap","Species richness","TRAC_N_16",0
"Minnow_trap","Species richness","TRAC_N_17",0
"Minnow_trap","Species richness","TRIT_N_01",0
"Minnow_trap","Species richness","TRIT_N_02",1
"Minnow_trap","Species richness","TRIT_N_03",0
"Minnow_trap","Species richness","TRIT_N_04",2
"Minnow_trap","Species richness","TRIT_N_05",1
"Minnow_trap","Species richness","TRIT_N_06",1
"Minnow_trap","Species richness","TRIT_N_07",1
"Minnow_trap","Species richness","TRIT_N_09",1
"Minnow_trap","Species richness","TRIT_N_11",1
"Minnow_trap","Species richness","TRIT_N_12",0
"Minnow_trap","Species richness","TRIT_N_13",2
"Minnow_trap","Species richness","TRIT_N_14",1
"Minnow_trap","Species richness","TRIT_N_15",1
"Minnow_trap","Species richness","TRIT_N_16",1
"Minnow_trap","Species richness","TRIT_N_17",1
"Minnow_trap","Diversity","ACHI_N_14",1
"Minnow_trap","Diversity","ACHI_N_15",1
"Minnow_trap","Diversity","ACHI_N_01",1
"Minnow_trap","Diversity","ACHI_N_02",1
"Minnow_trap","Diversity","ACHI_N_03",1
"Minnow_trap","Diversity","ACHI_N_04",1
"Minnow_trap","Diversity","ACHI_N_05",1
"Minnow_trap","Diversity","ACHI_N_06",1
"Minnow_trap","Diversity","ACHI_N_07",1
"Minnow_trap","Diversity","ACHI_N_09",1
"Minnow_trap","Diversity","ACHI_N_11",1
"Minnow_trap","Diversity","ACHI_N_12",1
"Minnow_trap","Diversity","ACHI_N_13",1
"Minnow_trap","Diversity","ACHI_N_16",0
"Minnow_trap","Diversity","ACHI_N_17",1
"Minnow_trap","Diversity","BEAV_N_01",0
"Minnow_trap","Diversity","BEAV_N_02",0.420814244064973
"Minnow_trap","Diversity","BEAV_N_03",0.471335052568935
"Minnow_trap","Diversity","BEAV_N_04",0.32
"Minnow_trap","Diversity","BEAV_N_05",0.314098750743605
"Minnow_trap","Diversity","BEAV_N_06",0
"Minnow_trap","Diversity","BEAV_N_07",0
"Minnow_trap","Diversity","BEAV_N_09",1
"Minnow_trap","Diversity","BEAV_N_11",1
"Minnow_trap","Diversity","BEAV_N_12",0.219773657021709
"Minnow_trap","Diversity","BEAV_N_13",0.443121739434894
"Minnow_trap","Diversity","BEAV_N_14",0.145748149681693
"Minnow_trap","Diversity","BEAV_N_15",0.469110227538508
"Minnow_trap","Diversity","BEAV_N_16",1
"Minnow_trap","Diversity","BEAV_N_17",1
"Minnow_trap","Diversity","COEU_N_03",1
"Minnow_trap","Diversity","COEU_N_04",1
"Minnow_trap","Diversity","COEU_N_05",1
"Minnow_trap","Diversity","COEU_N_06",0
"Minnow_trap","Diversity","COEU_N_07",1
"Minnow_trap","Diversity","COEU_N_09",0
"Minnow_trap","Diversity","COEU_N_11",0
"Minnow_trap","Diversity","COEU_N_12",1
"Minnow_trap","Diversity","COEU_N_13",1
"Minnow_trap","Diversity","COEU_N_14",0
"Minnow_trap","Diversity","COEU_N_15",1
"Minnow_trap","Diversity","COEU_N_16",1
"Minnow_trap","Diversity","COEU_N_17",1
"Minnow_trap","Diversity","COEU_N_01",1
"Minnow_trap","Diversity","COEU_N_02",0.21875
"Minnow_trap","Diversity","CORN_N_01",0.46
"Minnow_trap","Diversity","CORN_N_02",1
"Minnow_trap","Diversity","CORN_N_03",1
"Minnow_trap","Diversity","CORN_N_04",1
"Minnow_trap","Diversity","CORN_N_11",0
"Minnow_trap","Diversity","CORN_N_12",1
"Minnow_trap","Diversity","CORN_N_13",1
"Minnow_trap","Diversity","CORN_N_14",1
"Minnow_trap","Diversity","CORN_N_15",1
"Minnow_trap","Diversity","CORN_N_16",1
"Minnow_trap","Diversity","CORN_N_17",1
"Minnow_trap","Diversity","CORN_N_05",1
"Minnow_trap","Diversity","CORN_N_06",1
"Minnow_trap","Diversity","CORN_N_07",1
"Minnow_trap","Diversity","CORN_N_09",0
"Minnow_trap","Diversity","CORR_N_11",0.165289256198347
"Minnow_trap","Diversity","CORR_N_12",0.48
"Minnow_trap","Diversity","CORR_N_09",0.110726643598616
"Minnow_trap","Diversity","CORR_N_10",0.474505723204995
"Minnow_trap","Diversity","CORR_N_15",0.262975778546713
"Minnow_trap","Diversity","CORR_N_06",0.611111111111111
"Minnow_trap","Diversity","CORR_N_07",1
"Minnow_trap","Diversity","CORR_N_08",0.4576
"Minnow_trap","Diversity","CORR_N_14",0.345804988662132
"Minnow_trap","Diversity","CORR_N_01",0.375
"Minnow_trap","Diversity","CORR_N_02",0.691358024691358
"Minnow_trap","Diversity","CORR_N_13",0.498614958448754
"Minnow_trap","Diversity","CORR_N_04",0.160899653979239
"Minnow_trap","Diversity","CORR_N_05",1
"Minnow_trap","Diversity","CORR_N_03",0.660321237358715
"Minnow_trap","Diversity","CROC_N_06",1
"Minnow_trap","Diversity","CROC_N_04",0
"Minnow_trap","Diversity","CROC_N_05",0.068877551020408
"Minnow_trap","Diversity","CROC_N_01",0.32
"Minnow_trap","Diversity","CROC_N_02",0.374609781477627
"Minnow_trap","Diversity","CROC_N_03",0
"Minnow_trap","Diversity","CROC_N_07",0.337777777777778
"Minnow_trap","Diversity","CROC_N_09",0
"Minnow_trap","Diversity","CROC_N_11",0.297520661157025
"Minnow_trap","Diversity","CROC_N_12",0.32
"Minnow_trap","Diversity","CROC_N_13",0.152777777777778
"Minnow_trap","Diversity","CROC_N_14",0
"Minnow_trap","Diversity","CROC_N_15",0
"Minnow_trap","Diversity","CROC_N_16",0.444444444444444
"Minnow_trap","Diversity","CROC_N_17",0.489795918367347
"Minnow_trap","Diversity","CROM_N_07",1
"Minnow_trap","Diversity","CROM_N_09",0
"Minnow_trap","Diversity","CROM_N_11",0
"Minnow_trap","Diversity","CROM_N_12",0
"Minnow_trap","Diversity","CROM_N_13",1
"Minnow_trap","Diversity","CROM_N_14",0
"Minnow_trap","Diversity","CROM_N_15",0
"Minnow_trap","Diversity","CROM_N_01",0.625
"Minnow_trap","Diversity","CROM_N_02",0
"Minnow_trap","Diversity","CROM_N_03",1
"Minnow_trap","Diversity","CROM_N_04",0
"Minnow_trap","Diversity","CROM_N_05",0
"Minnow_trap","Diversity","CROM_N_06",0
"Minnow_trap","Diversity","CROM_N_17",0
"Minnow_trap","Diversity","CROM_N_16",0
"Minnow_trap","Diversity","ECHO_N_03",1
"Minnow_trap","Diversity","ECHO_N_02",0
"Minnow_trap","Diversity","ECHO_N_07",0.32
"Minnow_trap","Diversity","ECHO_N_04",0
"Minnow_trap","Diversity","ECHO_N_05",1
"Minnow_trap","Diversity","ECHO_N_06",0
"Minnow_trap","Diversity","ECHO_N_13",0
"Minnow_trap","Diversity","ECHO_N_14",1
"Minnow_trap","Diversity","ECHO_N_15",0
"Minnow_trap","Diversity","ECHO_N_16",0.18
"Minnow_trap","Diversity","ECHO_N_17",1
"Minnow_trap","Diversity","ECHO_N_09",0
"Minnow_trap","Diversity","ECHO_N_11",0.5
"Minnow_trap","Diversity","ECHO_N_12",0
"Minnow_trap","Diversity","ECHO_N_01",0.448979591836735
"Minnow_trap","Diversity","FOUR_N_12",0
"Minnow_trap","Diversity","FOUR_N_13",1
"Minnow_trap","Diversity","FOUR_N_11",1
"Minnow_trap","Diversity","FOUR_N_01",1
"Minnow_trap","Diversity","FOUR_N_02",1
"Minnow_trap","Diversity","FOUR_N_03",1
"Minnow_trap","Diversity","FOUR_N_04",0
"Minnow_trap","Diversity","FOUR_N_05",0
"Minnow_trap","Diversity","FOUR_N_06",0
"Minnow_trap","Diversity","FOUR_N_07",1
"Minnow_trap","Diversity","FOUR_N_09",0
"Minnow_trap","Diversity","FOUR_N_15",1
"Minnow_trap","Diversity","FOUR_N_16",1
"Minnow_trap","Diversity","FOUR_N_17",1
"Minnow_trap","Diversity","FOUR_N_14",0
"Minnow_trap","Diversity","MONT_N_17",0
"Minnow_trap","Diversity","MONT_N_06",0
"Minnow_trap","Diversity","MONT_N_07",0.408163265306122
"Minnow_trap","Diversity","MONT_N_09",0
"Minnow_trap","Diversity","MONT_N_11",0
"Minnow_trap","Diversity","MONT_N_12",1
"Minnow_trap","Diversity","MONT_N_13",1
"Minnow_trap","Diversity","MONT_N_14",1
"Minnow_trap","Diversity","MONT_N_15",0
"Minnow_trap","Diversity","MONT_N_16",0
"Minnow_trap","Diversity","MONT_N_01",1
"Minnow_trap","Diversity","MONT_N_02",1
"Minnow_trap","Diversity","MONT_N_03",1
"Minnow_trap","Diversity","MONT_N_04",1
"Minnow_trap","Diversity","MONT_N_05",0
"Minnow_trap","Diversity","MORE_N_03",0
"Minnow_trap","Diversity","MORE_N_04",0
"Minnow_trap","Diversity","MORE_N_05",0
"Minnow_trap","Diversity","MORE_N_06",0
"Minnow_trap","Diversity","MORE_N_07",0
"Minnow_trap","Diversity","MORE_N_09",0
"Minnow_trap","Diversity","MORE_N_11",0
"Minnow_trap","Diversity","MORE_N_12",0
"Minnow_trap","Diversity","MORE_N_13",0
"Minnow_trap","Diversity","MORE_N_01",0
"Minnow_trap","Diversity","MORE_N_02",0
"Minnow_trap","Diversity","MORE_N_15",0
"Minnow_trap","Diversity","MORE_N_16",0
"Minnow_trap","Diversity","MORE_N_17",0
"Minnow_trap","Diversity","MORE_N_14",0
"Minnow_trap","Diversity","PINR_N_17",0
"Minnow_trap","Diversity","PINR_N_14",0
"Minnow_trap","Diversity","PINR_N_15",1
"Minnow_trap","Diversity","PINR_N_16",0.1171875
"Minnow_trap","Diversity","PINR_N_01",1
"Minnow_trap","Diversity","PINR_N_02",1
"Minnow_trap","Diversity","PINR_N_03",0
"Minnow_trap","Diversity","PINR_N_04",1
"Minnow_trap","Diversity","PINR_N_05",1
"Minnow_trap","Diversity","PINR_N_06",0.444444444444444
"Minnow_trap","Diversity","PINR_N_07",1
"Minnow_trap","Diversity","PINR_N_09",0.5
"Minnow_trap","Diversity","PINR_N_11",0
"Minnow_trap","Diversity","PINR_N_12",1
"Minnow_trap","Diversity","PINR_N_13",1
"Minnow_trap","Diversity","STON_N_10",0
"Minnow_trap","Diversity","STON_N_07",1
"Minnow_trap","Diversity","STON_N_08",0.375
"Minnow_trap","Diversity","STON_N_09",0
"Minnow_trap","Diversity","STON_N_01",1
"Minnow_trap","Diversity","STON_N_02",1
"Minnow_trap","Diversity","STON_N_03",1
"Minnow_trap","Diversity","STON_N_04",0
"Minnow_trap","Diversity","STON_N_05",1
"Minnow_trap","Diversity","STON_N_06",0
"Minnow_trap","Diversity","STON_N_11",0
"Minnow_trap","Diversity","STON_N_12",1
"Minnow_trap","Diversity","STON_N_13",1
"Minnow_trap","Diversity","STON_N_14",1
"Minnow_trap","Diversity","STON_N_15",0
"Minnow_trap","Diversity","TRAC_N_01",1
"Minnow_trap","Diversity","TRAC_N_02",1
"Minnow_trap","Diversity","TRAC_N_03",1
"Minnow_trap","Diversity","TRAC_N_04",1
"Minnow_trap","Diversity","TRAC_N_05",1
"Minnow_trap","Diversity","TRAC_N_06",0
"Minnow_trap","Diversity","TRAC_N_07",1
"Minnow_trap","Diversity","TRAC_N_09",1
"Minnow_trap","Diversity","TRAC_N_11",1
"Minnow_trap","Diversity","TRAC_N_12",1
"Minnow_trap","Diversity","TRAC_N_13",1
"Minnow_trap","Diversity","TRAC_N_14",1
"Minnow_trap","Diversity","TRAC_N_15",1
"Minnow_trap","Diversity","TRAC_N_16",1
"Minnow_trap","Diversity","TRAC_N_17",1
"Minnow_trap","Diversity","TRIT_N_01",1
"Minnow_trap","Diversity","TRIT_N_02",0
"Minnow_trap","Diversity","TRIT_N_03",1
"Minnow_trap","Diversity","TRIT_N_04",0.32
"Minnow_trap","Diversity","TRIT_N_05",0
"Minnow_trap","Diversity","TRIT_N_06",0
"Minnow_trap","Diversity","TRIT_N_07",0
"Minnow_trap","Diversity","TRIT_N_09",0
"Minnow_trap","Diversity","TRIT_N_11",0
"Minnow_trap","Diversity","TRIT_N_12",1
"Minnow_trap","Diversity","TRIT_N_13",0.489795918367347
"Minnow_trap","Diversity","TRIT_N_14",0
"Minnow_trap","Diversity","TRIT_N_15",0
"Minnow_trap","Diversity","TRIT_N_16",0
"Minnow_trap","Diversity","TRIT_N_17",0
"Minnow_trap","Evenness","ACHI_N_14",0
"Minnow_trap","Evenness","ACHI_N_15",0
"Minnow_trap","Evenness","ACHI_N_01",0
"Minnow_trap","Evenness","ACHI_N_02",0
"Minnow_trap","Evenness","ACHI_N_03",0
"Minnow_trap","Evenness","ACHI_N_04",0
"Minnow_trap","Evenness","ACHI_N_05",0
"Minnow_trap","Evenness","ACHI_N_06",0
"Minnow_trap","Evenness","ACHI_N_07",0
"Minnow_trap","Evenness","ACHI_N_09",0
"Minnow_trap","Evenness","ACHI_N_11",0
"Minnow_trap","Evenness","ACHI_N_12",0
"Minnow_trap","Evenness","ACHI_N_13",0
"Minnow_trap","Evenness","ACHI_N_16",NA
"Minnow_trap","Evenness","ACHI_N_17",0
"Minnow_trap","Evenness","BEAV_N_01",NA
"Minnow_trap","Evenness","BEAV_N_02",0.882534664125714
"Minnow_trap","Evenness","BEAV_N_03",0.958240728258841
"Minnow_trap","Evenness","BEAV_N_04",0.721928094887362
"Minnow_trap","Evenness","BEAV_N_05",0.712064054890548
"Minnow_trap","Evenness","BEAV_N_06",NA
"Minnow_trap","Evenness","BEAV_N_07",NA
"Minnow_trap","Evenness","BEAV_N_09",0
"Minnow_trap","Evenness","BEAV_N_11",0
"Minnow_trap","Evenness","BEAV_N_12",0.545478963031096
"Minnow_trap","Evenness","BEAV_N_13",0.916310806766551
"Minnow_trap","Evenness","BEAV_N_14",0.399129937435664
"Minnow_trap","Evenness","BEAV_N_15",0.95496488613092
"Minnow_trap","Evenness","BEAV_N_16",0
"Minnow_trap","Evenness","BEAV_N_17",0
"Minnow_trap","Evenness","COEU_N_03",0
"Minnow_trap","Evenness","COEU_N_04",0
"Minnow_trap","Evenness","COEU_N_05",0
"Minnow_trap","Evenness","COEU_N_06",NA
"Minnow_trap","Evenness","COEU_N_07",0
"Minnow_trap","Evenness","COEU_N_09",NA
"Minnow_trap","Evenness","COEU_N_11",NA
"Minnow_trap","Evenness","COEU_N_12",0
"Minnow_trap","Evenness","COEU_N_13",0
"Minnow_trap","Evenness","COEU_N_14",NA
"Minnow_trap","Evenness","COEU_N_15",0
"Minnow_trap","Evenness","COEU_N_16",0
"Minnow_trap","Evenness","COEU_N_17",0
"Minnow_trap","Evenness","COEU_N_01",0
"Minnow_trap","Evenness","COEU_N_02",0.543564443199596
"Minnow_trap","Evenness","CORN_N_01",0.729846699162098
"Minnow_trap","Evenness","CORN_N_02",0
"Minnow_trap","Evenness","CORN_N_03",0
"Minnow_trap","Evenness","CORN_N_04",0
"Minnow_trap","Evenness","CORN_N_11",NA
