"Transect_ID","Lake","Date","Latitude","Longitude","Cloud_cover","Start_time","Identifier","tot_AmRu","tot_MiDo","tot_LeGi","tot_PeFl","tot_Cyprinidae","inf_AmRu","inf_MiDo","inf_LeGi","inf_PeFl","inf_Cyprinidae","Trunk","Silt","Sand","Rock","Metric_block","Macrophyte","Mean_depth","Temperature","Conductivity","DO","Turbidity","pH","TOC","TN","TP"
"ACHI1","Achigan","24/08/2022","45°56.127'","73°57.989'",50,"11:52","Lea_Juliane",0,9,0,0,0,0,0,0,0,0,15,0,5,74.8,20.2,3.8,118.5,25.2,56.6,8.37,0.06,7.25,4.75,232.49,4.3049
"ACHI2","Achigan","24/08/2022","45°56.025'","73°57.398'",5,"13:14","Charles_Lea",0,0,0,0,0,0,0,0,0,0,13,4,1.5,83.5,11,1.4,79,24.3,55.2,8.55,0.38,7.38,4.67,259.85,6.2188
"ACHI3","Achigan","24/08/2022","45°56.038'","73°57.346'",75,"14:01","Juliane_Charles",0,8,0,0,0,0,1,0,0,0,26,28.7,0,20.8,49.5,6.9,115,24.5,55.7,8.66,0.17,7.56,4.75,299.75,5.8841
"ACHI4","Achigan","24/08/2022","45°56.274'","73°57.020'",50,"14:45","Juliane_Charles",0,14,0,0,0,0,1,0,0,0,9,0,0,67,33,0.2,147,24.5,55.6,8.67,0.18,7.38,4.67,238.19,5.4528
"ACHI5","Achigan","24/08/2022","45°56.390'","73°59.699'",1,"10:23","Juliane_Lea",0,3,50,0,88,0,0,0,0,0,1,9,43.8,45.6,1.6,36.7,37.5,23.6,56.1,8.78,0.24,6.83,4.78,242.75,6.67
"ACHI6","Achigan","24/08/2022","45°56.561'","73°58.328'",10,"11:07","Lea_Juliane",0,9,0,0,0,0,3,0,0,0,12,0,11.5,72.8,15.7,2.2,66,24.3,55.9,8.6,0.16,6.98,4.83,240.47,4.7597
"BEAV1","Beaver","10/08/2022","45°55.557'","74°03.855'",80,"15:52","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,26,8.87,1.78,6.6,9.15,487.85,18.4269
"BEAV2","Beaver","10/08/2022","45°55.471'","74°03.804'",75,"16:05","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.7,26,8.82,1.88,6.77,9.17,499.25,19.4058
"COEU1","Coeur","25/08/2022","45°58.278'","74°00.493'",60,"11:26","Juliane_Charles",0,55,67,0,0,0,19,53,0,0,80,43,0,27.5,29.5,2.3,187.5,23.6,53.8,8.37,0.29,7.38,5.75,419.45,9.551
"COEU2","Coeur","25/08/2022","45°58.220'","74°00.526'",30,"10:53","Charles_Juliane",0,13,71,18,0,0,2,66,7,0,16,36.5,0,29.8,33.7,22,62.5,23.3,53.5,8.38,0.33,7.25,5.63,370.43,8.4576
"COEU3","Coeur","25/08/2022","45°58.095'","74°00.775'",40,"10:20","Juliane_Charles",0,33,50,3,0,0,16,42,0,0,9,33.9,0,20.5,45.6,9,80,23,53.4,8.26,0.2,7.13,5.6,331.67,7.3317
"COEU4","Coeur","25/08/2022","45°58.086'","74°00.835'",40,"09:45","Charles_Juliane",0,36,42,3,0,0,15,38,0,0,79,57,0,15.9,27.1,10.6,108,22.8,53.2,8.26,0.28,6.78,5.64,341.93,6.9554
"CORN1","Cornu","18/08/2022","45°52.949'","74°00.138'",100,"12:10","Charles_Juliane",0,39,62,1,20,0,13,55,0,0,380,62,0,1,37,0,370,22.6,147.8,8.69,0.74,7.33,3.97,324.83,6.9125
"CORN2","Cornu","18/08/2022","45°53.090'","74°00.339'",100,"10:09","Charles_Lea",0,6,289,0,131,0,3,272,0,0,45,100,0,0,0,25,39.5,22.5,149.6,8,0.41,6.87,4.05,292.91,7.6265
"CORN3","Cornu","18/08/2022","45°53.125'","74°00.332'",90,"10:42","Lea_Charles",0,9,179,2,371,0,6,141,1,0,11,97.4,0,0,2.6,75.5,44.5,22.6,152.3,8.1,1.34,6.77,4.05,374.99,13.9793
"CORN4","Cornu","18/08/2022","45°52.960'","73°59.989'",100,"11:30","Juliane_Charles",0,1,60,0,0,0,1,57,0,0,18,18,0,65.5,16.5,14.9,45,22.6,147.8,9.1,0.13,7.61,4.13,357.89,8.7511
"CORR1","Corriveau","11/08/2022","45°58.603'","74°00.141'",30,"10:07","Juliane_Lea",0,0,51,0,337,0,0,29,0,0,108,77.5,0,14,8.5,35,107,20.3,19.1,8.06,0.49,5.76,8.42,400.07,12.4658
"CORR2","Corriveau","11/08/2022","45°58.589'","74°00.008'",80,"10:50","Lea_Juliane",0,0,85,0,335,0,0,13,0,0,33,57.5,6,12,24.5,27.5,89.5,21,19.1,8.27,0.39,6.1,8.25,394.37,14.9332
"CROC1","Croche","09/08/2022","45°59.658'","74°00.429'",100,"10:58","Louis-Philippe_Charles",0,0,116,0,231,0,0,15,0,0,52,100,0,0,0,39.5,73.5,21.3,14.2,7.84,0.38,6.09,6.36,332.81,7.0791
"CROC4","Croche","09/08/2022","45°59.443'","74°00.398'",100,"14:47","Louis-Philippe_Juliane",0,0,124,0,127,0,0,35,0,0,171,97.5,0,1,1.5,10.1,97,21.9,14.3,8.2,0.19,5.89,5.39,260.99,8.0571
"CROC6","Croche","09/08/2022","45°59.456'","74°00.815'",100,"09:43","Charles_Louis-Philippe",0,0,47,0,23,0,0,16,0,0,73,50.5,0,46.1,2.9,3.3,94,21.6,14.2,7.71,0.24,6.05,6.3,298.61,8.8069
"CROM2","Cromwell","10/08/2022","45°59.301'","73°59.796'",80,"09:40","Louis-Philippe_Charles",0,1,20,0,0,0,0,17,0,0,79,80,0,6,27,56,76,19.7,19.2,6.66,0.91,5.72,7.87,381.83,11.5249
"CROM3","Cromwell","10/08/2022","45°59.334'","74°00.096'",60,"10:22","Juliane_Lea",0,3,7,0,79,0,0,2,0,0,27,71,0,14,15,61.5,84.5,19.6,19.6,4.56,0.56,5.76,7.57,341.93,11.8224
"CROM4","Cromwell","10/08/2022","45°59.348'","74°00.071'",75,"10:25","Charles_Louis-Philippe",0,4,34,0,9,0,0,17,0,0,53,89.8,0,5.8,4.4,69,117,19.8,19.6,5.45,0.49,5.89,7.81,361.31,10.716
"ECHO1","Echo","16/08/2022","45°53.522'","74°01.994'",5,"13:33","Charles_Lea",2,3,65,28,83,2,3,36,26,0,45,87,0,5.8,7.2,53.5,50.5,23.5,174.3,9.84,1.8,8,5.58,492.41,13.4672
"ECHO2","Echo","16/08/2022","45°53.478'","74°01.522'",20,"15:00","Juliane_Lea",0,2,3,0,3,0,1,3,0,0,27,59.5,19,10.5,10.5,49,39.5,25,171,10.07,3.5,8.17,5.75,511.79,15.8648
"ECHO3","Echo","16/08/2022","45°53.083'","74°01.165'",10,"11:50","Juliane_Charles",0,11,6,0,69,0,4,3,0,0,21,0,13,85,2,1.1,41.3,23.4,159.9,9.77,1.54,8.15,5.65,519.77,15.7477
"ECHO4","Echo","16/08/2022","45°52.996'","74°01.562'",5,"11:03","Charles_Juliane",1,7,15,1,0,0,5,11,1,0,17,75,0,19.5,5.5,11.5,51,23.3,159.6,9.71,2.12,7.96,5.72,593.87,19.3587
"ECHO5","Echo","16/08/2022","45°53.277'","74°01.609'",10,"14:17","Lea_Juliane",4,2,43,1,94,4,1,25,0,0,10,84,0,7,9,58.5,52,24.6,166.3,10.18,1.56,8.25,5.67,520.91,13.1379
"FOUR1","Fournelle","03/08/2022","45°54.948'","74°02.370'",75,"14:51","Charles_Juliane",0,44,34,0,0,0,13,21,0,0,41,96.9,0,3,0.1,31.5,82,24.9,62.5,8.44,0.76,6.68,5.41,311.15,9.0404
"FOUR2","Fournelle","03/08/2022","45°54.820'","74°02.397'",80,"14:35","Juliane_Charles",15,45,138,0,0,8,15,106,0,0,26,95.4,0,1.2,3.2,9.6,125.5,24.5,60.7,8.94,1.58,7.38,5.42,328.25,10.2989
"FOUR3","Fournelle","03/08/2022","45°54.803'","74°02.374'",60,"15:08","Juliane_Charles",4,46,235,1,0,0,13,192,0,0,57,100,0,0,0,8.5,61.5,24.6,60.7,8.78,1.33,7.61,5.37,308.87,7.4852
"MONT1","Montaubois","05/08/2022","45°55.243'","74°04.387'",20,"09:30","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,60.9,8.26,0.03,6.44,3.88,303.17,6.111
"MONT2","Montaubois","05/08/2022","45°55.383'","74°04.444'",20,"09:40","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,61.5,8.01,0.08,6.52,3.67,239.33,5.5773
"MONT3","Montaubois","05/08/2022","45°55.365'","74°04.073'",20,"09:50","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,61.7,8.17,0.02,6.64,3.7,265.55,5.0967
"MORE1","Morency","19/08/2022","45°55.868'","74°01.889'",5,"12:05","Charles_Lea",0,5,289,0,0,0,1,265,0,0,15,88.5,0,3.6,7.8,8.5,30.5,24.8,132.7,10.38,2.38,8.5,4.49,356.75,7.5123
"MORE2","Morency","19/08/2022","45°55.829'","74°02.044'",2,"11:30","Juliane_Charles",0,14,204,0,0,0,1,191,0,0,94,42.8,0.7,16.5,41,5.9,168,24,129.3,9.53,4.32,8.16,4.3,341.93,6.8925
"MORE3","Morency","19/08/2022","45°55.727'","74°02.213'",3,"10:45","Juliane_Lea",0,12,539,0,0,0,1,303,0,0,83,24.5,0,35.5,40.5,13.5,129,23.2,128.6,9.29,0.42,8.17,4.25,355.61,8.4191
"MORE4","Morency","19/08/2022","45°55.678'","74°02.039'",10,"09:57","Lea_Juliane",0,7,163,0,279,0,0,116,0,0,31,53,3,16.5,27.5,57.3,58,22.3,126.1,9.52,0.43,8.28,4.3,355.61,6.6601
"PINR1","Pin_rouge","27/08/2022","45°57.608'","74°02.613'",80,"14:00","Lea_Charles",0,0,2,0,0,0,0,2,0,0,5,100,0,0,0,61,32.5,21,45.5,7.7,0.39,6.74,8.27,502.67,13.6476
"PINR2","Pin_rouge","27/08/2022","45°57.515'","74°02.498'",40,"15:07","Lea_Juliane",35,5,137,0,0,19,0,95,0,0,37,69.5,9,4.5,17,23.3,56.5,20.9,45.9,8.13,0.35,6.42,8.29,460.49,13.4307
"PINR3","Pin_rouge","27/08/2022","45°57.493'","74°02.606'",80,"14:31","Juliane_Lea",0,0,38,5,0,0,0,31,2,0,20,98.8,0.7,0.5,0,9.2,26.5,20.7,45.7,8.08,0.12,7.01,8.15,408.05,8.1835
"STON1","St-Onge","03/08/2022","45°54.924'","73°57.716'",30,"09:30","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.8,99.1,7.1,1.36,6.18,13.1,530.03,17.6344
"STON2","St-Onge","03/08/2022","45°54.834'","73°57.762'",30,"09:45","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.3,94.4,7.64,1.45,6.55,13.3,656.57,25.7782
"TRAC1","Tracy","05/08/2022","45°55.521'","74°04.035'",20,"11:10","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,71.1,8.31,0.08,6.45,3.31,272.39,4.822
"TRAC2","Tracy","05/08/2022","45°55.690'","74°03.833'",20,"11:18","NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1,72.9,8.24,0.03,6.35,3.87,467.33,8.6231
"TRIT1","Triton","10/08/2022","45°59.298'","74°00.457'",70,"13:15","Louis-Philippe_Charles",0,0,538,0,1,0,0,0,0,0,27,98.8,0,0,1.2,57.5,128.5,20.9,14.3,7.52,1.19,5.99,7.09,386.39,9.5666
"TRIT2","Triton","10/08/2022","45°59.296'","74°00.456'",60,"13:18","Lea_Juliane",0,0,311,0,0,0,0,0,0,0,166,91.5,0,4.5,4,41,121,20.9,14.2,7.55,0.82,5.69,7.93,379.55,10.1204
